"Domain","Timestamp","Resolver","Status","Query Time"
"test.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:09 UTC","16.51.167.219@53","SERVFAIL","86.0"
"test0.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:09 UTC","16.51.167.219@53","SERVFAIL","55.1"
"test1.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:09 UTC","16.51.167.219@53","SERVFAIL","51.9"
"test2.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:09 UTC","16.51.167.219@53","SERVFAIL","55.8"
"test3.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:09 UTC","16.51.167.219@53","SERVFAIL","55.2"
"test4.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:09 UTC","16.51.167.219@53","SERVFAIL","55.2"
"test5.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:09 UTC","16.51.167.219@53","SERVFAIL","54.2"
"test6.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:09 UTC","16.51.167.219@53","SERVFAIL","56.0"
"test7.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","52.0"
"test8.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","54.6"
"test9.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","52.3"
"test10.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","53.5"
"test11.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","54.3"
"test12.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","52.0"
"test13.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","52.1"
"test14.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","53.5"
"test15.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","55.1"
"test16.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","51.9"
"test17.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","54.2"
"test18.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","56.9"
"test19.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","52.0"
"test20.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","55.5"
"test21.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","53.3"
"test22.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:10 UTC","16.51.167.219@53","SERVFAIL","57.3"
"test23.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","53.8"
"test24.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","54.1"
"test25.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","55.5"
"test26.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","56.2"
"test27.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","54.2"
"test28.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","56.4"
"test29.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","52.2"
"test30.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","56.8"
"test31.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","52.7"
"test32.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","53.3"
"test33.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","52.0"
"test34.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","55.8"
"test35.p256-mldsa44-SYDNEY.test","2026-08-06 08:00:11 UTC","16.51.167.219@53","SERVFAIL","55.2"
