"Domain","Timestamp","Resolver","Status","Query Time"
"test.FALCON512-SYDNEY.test","2026-08-06 08:54:32 UTC","16.51.167.219@853","SERVFAIL","119.0"
"test0.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","44.6"
"test1.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","46.7"
"test2.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","43.1"
"test3.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","44.0"
"test4.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","45.8"
"test5.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","46.1"
"test6.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","47.1"
"test7.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","47.0"
"test8.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","42.6"
"test9.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","44.9"
"test10.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","44.5"
"test11.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","46.4"
"test12.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","45.0"
"test13.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","46.8"
"test14.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","44.2"
"test15.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","48.0"
"test16.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","45.9"
"test17.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","44.5"
"test18.FALCON512-SYDNEY.test","2026-08-06 08:54:33 UTC","16.51.167.219@853","SERVFAIL","46.6"
"test19.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","44.7"
"test20.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","45.7"
"test21.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","44.2"
"test22.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","42.8"
"test23.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","44.5"
"test24.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","43.9"
"test25.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","44.2"
"test26.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","44.7"
"test27.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","47.0"
"test28.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","46.2"
"test29.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","44.1"
"test30.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","43.8"
"test31.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","44.2"
"test32.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","46.5"
"test33.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","45.5"
"test34.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","44.1"
"test35.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","43.5"
"test36.FALCON512-SYDNEY.test","2026-08-06 08:54:34 UTC","16.51.167.219@853","SERVFAIL","46.0"
"test37.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","45.1"
"test38.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","45.8"
"test39.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","44.2"
"test40.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","47.8"
"test41.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","44.5"
"test42.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","44.9"
"test43.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","43.6"
"test44.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","45.6"
"test45.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","43.3"
"test46.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","48.5"
"test47.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","46.8"
"test48.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","45.2"
"test49.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","44.0"
"test50.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","44.5"
"test51.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","44.7"
"test52.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","45.5"
"test53.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","47.2"
"test54.FALCON512-SYDNEY.test","2026-08-06 08:54:35 UTC","16.51.167.219@853","SERVFAIL","46.6"
"test55.FALCON512-SYDNEY.test","2026-08-06 08:54:36 UTC","16.51.167.219@853","SERVFAIL","45.2"
"test56.FALCON512-SYDNEY.test","2026-08-06 08:54:36 UTC","16.51.167.219@853","SERVFAIL","45.0"
"test57.FALCON512-SYDNEY.test","2026-08-06 08:54:36 UTC","16.51.167.219@853","SERVFAIL","45.1"
"test58.FALCON512-SYDNEY.test","2026-08-06 08:54:36 UTC","16.51.167.219@853","SERVFAIL","45.5"
"test59.FALCON512-SYDNEY.test","2026-08-06 08:54:36 UTC","16.51.167.219@853","SERVFAIL","48.0"
"test60.FALCON512-SYDNEY.test","2026-08-06 08:54:36 UTC","16.51.167.219@853","SERVFAIL","46.0"
"test61.FALCON512-SYDNEY.test","2026-08-06 08:54:36 UTC","16.51.167.219@853","SERVFAIL","45.1"
"test62.FALCON512-SYDNEY.test","2026-08-06 08:54:36 UTC","16.51.167.219@853","SERVFAIL","46.2"
"test63.FALCON512-SYDNEY.test","2026-08-06 08:54:36 UTC","16.51.167.219@853","SERVFAIL","47.8"
