"Domain","Timestamp","Resolver","Status","Query Time"
"test.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","123.9"
"test0.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","42.5"
"test1.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","40.9"
"test2.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","43.2"
"test3.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","44.1"
"test4.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","41.4"
"test5.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","41.5"
"test6.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","45.5"
"test7.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","45.2"
"test8.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","43.7"
"test9.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","40.8"
"test10.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","42.0"
"test11.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","40.8"
"test12.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","42.6"
"test13.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","41.5"
"test14.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","43.5"
"test15.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:05 UTC","16.51.167.219@853","SERVFAIL","41.1"
"test16.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","46.5"
"test17.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","41.8"
"test18.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","42.5"
"test19.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","44.6"
"test20.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","42.6"
"test21.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","40.9"
"test22.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","41.8"
"test23.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","44.6"
"test24.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","43.3"
"test25.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","43.3"
"test26.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","45.7"
"test27.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","42.1"
"test28.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","41.6"
"test29.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","42.9"
"test30.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","44.0"
"test31.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","44.1"
"test32.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","43.3"
"test33.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","42.2"
"test34.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:06 UTC","16.51.167.219@853","SERVFAIL","42.0"
"test35.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","43.0"
"test36.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","41.8"
"test37.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","41.2"
"test38.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","43.0"
"test39.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","43.2"
"test40.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","42.7"
"test41.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","43.7"
"test42.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","42.4"
"test43.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","42.0"
"test44.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","44.9"
"test45.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","43.3"
"test46.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","41.6"
"test47.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","41.3"
"test48.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","42.0"
"test49.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","43.6"
"test50.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","43.1"
"test51.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","42.3"
"test52.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","44.6"
"test53.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:07 UTC","16.51.167.219@853","SERVFAIL","43.2"
"test54.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","41.7"
"test55.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","44.9"
"test56.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","46.1"
"test57.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","42.0"
"test58.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","42.9"
"test59.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","45.0"
"test60.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","46.3"
"test61.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","43.3"
"test62.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","44.6"
"test63.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","42.2"
"test64.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","41.1"
"test65.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","41.3"
"test66.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","44.7"
"test67.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","46.1"
"test68.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","43.4"
"test69.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","44.4"
"test70.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:49:08 UTC","16.51.167.219@853","SERVFAIL","42.4"
