"Domain","Timestamp","Resolver","Status","Query Time"
"test.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:56 UTC","16.51.167.219@53","SERVFAIL","100.0"
"test0.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:56 UTC","16.51.167.219@53","SERVFAIL","68.2"
"test1.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:56 UTC","16.51.167.219@53","SERVFAIL","70.8"
"test2.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","66.6"
"test3.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","67.6"
"test4.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","66.5"
"test5.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","64.7"
"test6.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","63.4"
"test7.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","69.9"
"test8.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","65.3"
"test9.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","67.1"
"test10.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","73.0"
"test11.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","71.5"
"test12.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","68.4"
"test13.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","65.6"
"test14.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:57 UTC","16.51.167.219@53","SERVFAIL","68.9"
"test15.SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:05:58 UTC","16.51.167.219@53","SERVFAIL","71.8"
