"Domain","Timestamp","Resolver","Status","Query Time"
"test.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:15 UTC","16.51.167.219@53","SERVFAIL","95.0"
"test0.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:15 UTC","16.51.167.219@53","SERVFAIL","65.4"
"test1.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:15 UTC","16.51.167.219@53","SERVFAIL","66.2"
"test2.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:15 UTC","16.51.167.219@53","SERVFAIL","72.2"
"test3.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:15 UTC","16.51.167.219@53","SERVFAIL","70.0"
"test4.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:15 UTC","16.51.167.219@53","SERVFAIL","68.0"
"test5.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:15 UTC","16.51.167.219@53","SERVFAIL","68.3"
"test6.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:15 UTC","16.51.167.219@53","SERVFAIL","67.1"
"test7.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","66.3"
"test8.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","65.2"
"test9.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","70.8"
"test10.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","68.4"
"test11.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","67.2"
"test12.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","69.6"
"test13.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","69.0"
"test14.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","67.1"
"test15.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","65.5"
"test16.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","73.4"
"test17.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","65.9"
"test18.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","65.1"
"test19.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:16 UTC","16.51.167.219@53","SERVFAIL","71.4"
"test20.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","67.2"
"test21.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","63.6"
"test22.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","72.9"
"test23.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","65.2"
"test24.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","65.2"
"test25.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","64.7"
"test26.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","66.1"
"test27.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","74.2"
"test28.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","69.0"
"test29.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","64.9"
"test30.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","69.7"
"test31.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","64.7"
"test32.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:17 UTC","16.51.167.219@53","SERVFAIL","64.3"
"test33.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","66.0"
"test34.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","65.4"
"test35.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","69.7"
"test36.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","69.7"
"test37.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","68.2"
"test38.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","64.9"
"test39.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","71.0"
"test40.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","67.8"
"test41.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","68.0"
"test42.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","70.1"
"test43.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","67.5"
"test44.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","67.6"
"test45.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:18 UTC","16.51.167.219@53","SERVFAIL","66.4"
"test46.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","67.3"
"test47.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","72.8"
"test48.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","65.4"
"test49.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","64.7"
"test50.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","69.1"
"test51.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","66.1"
"test52.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","67.1"
"test53.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","65.4"
"test54.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","68.6"
"test55.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","66.3"
"test56.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","70.1"
"test57.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","66.0"
"test58.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:19 UTC","16.51.167.219@53","SERVFAIL","66.1"
"test59.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","66.7"
"test60.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","67.5"
"test61.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","70.7"
"test62.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","65.4"
"test63.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","66.7"
"test64.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","67.9"
"test65.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","66.4"
"test66.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","67.9"
"test67.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","64.4"
"test68.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","66.4"
"test69.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","65.6"
"test70.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","64.8"
"test71.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","69.1"
"test72.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:20 UTC","16.51.167.219@53","SERVFAIL","68.0"
"test73.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:21 UTC","16.51.167.219@53","SERVFAIL","68.6"
"test74.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:21 UTC","16.51.167.219@53","SERVFAIL","68.4"
"test75.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:21 UTC","16.51.167.219@53","SERVFAIL","65.2"
"test76.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:21 UTC","16.51.167.219@53","SERVFAIL","65.3"
"test77.p256-SLHDSASHA2128S-SYDNEY.test","2026-08-06 08:04:21 UTC","16.51.167.219@53","SERVFAIL","70.6"
