"Domain","Timestamp","Resolver","Status","Query Time"
"test.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:37 UTC","16.51.167.219@853","NOERROR","119.2"
"test0.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:37 UTC","16.51.167.219@853","NOERROR","42.3"
"test1.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:37 UTC","16.51.167.219@853","NOERROR","41.3"
"test2.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","43.9"
"test3.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","43.5"
"test4.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","43.0"
"test5.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","43.3"
"test6.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","46.4"
"test7.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","43.5"
"test8.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","46.8"
"test9.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","42.2"
"test10.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","45.0"
"test11.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","45.9"
"test12.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","45.9"
"test13.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","45.3"
"test14.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","41.8"
"test15.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","40.7"
"test16.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 06:07:38 UTC","16.51.167.219@853","NOERROR","44.1"
