Domain,Timestamp,Resolver,Status,Query Time
test.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,115.1
test0.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,45.9
test1.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,47.6
test2.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,44.4
test3.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,45.5
test4.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,46.6
test5.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,43.5
test6.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,45.8
test7.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,44.5
test8.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,47.3
test9.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,46.1
test10.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,44.8
test11.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,46.5
test12.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,43.8
test13.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,47.4
test14.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,46.8
test15.FALCON512-SYDNEY0608.test,2026-08-07 01:00:26 UTC,16.51.167.219@853,NOERROR,46
test16.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,46
test17.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,45.9
test18.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,46.5
test19.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,45.3
test20.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,47.7
test21.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,45
test22.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,46.4
test23.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,45.2
test24.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,44
test25.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,45.9
test26.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,44.8
test27.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,43.7
test28.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,45.5
test29.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,44.1
test30.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,46
test31.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,43.6
test32.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,46.5
test33.FALCON512-SYDNEY0608.test,2026-08-07 01:00:27 UTC,16.51.167.219@853,NOERROR,43.6
test34.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,45.2
test35.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,43.7
test36.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,48.3
test37.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,47.2
test38.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,45.1
test39.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,42.1
test40.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,47
test41.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,43.3
test42.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,44.5
test43.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,42.7
test44.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,44.8
test45.FALCON512-SYDNEY0608.test,2026-08-07 01:00:28 UTC,16.51.167.219@853,NOERROR,43.9
