Linux 7.0.0-1008-aws (ip-172-31-31-224) 	08/07/26 	_x86_64_	(2 CPU)

01:00:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:00:17        all     52.00      0.00      5.00      0.00      0.00     43.00
01:00:18        all     51.00      0.00      3.50      0.50      0.00     45.00
01:00:19        all     50.00      0.00      3.54      0.00      0.00     46.46
01:00:20        all     49.75      0.00      4.52      0.00      0.00     45.73
01:00:21        all     50.25      0.00      4.02      0.00      0.00     45.73
01:00:22        all     46.23      0.00      4.52      0.00      0.00     49.25
01:00:23        all     52.02      0.00      2.02      0.00      0.00     45.96
01:00:24        all     28.71      0.00      4.95      0.00      0.50     65.84
01:00:25        all      0.00      0.00      0.50      0.00      0.00     99.50
01:00:26        all      3.48      0.00      0.50      0.00      0.50     95.52
01:00:27        all      1.54      0.00      0.00      0.00      0.00     98.46
01:00:28        all      2.00      0.00      1.00      0.00      0.00     97.00
01:00:29        all      1.03      0.00      0.51      0.00      0.00     98.46
01:00:30        all      2.01      0.00      1.01      0.00      0.00     96.98
01:00:31        all      2.02      0.00      0.51      0.00      0.00     97.47
01:00:32        all      2.01      0.00      1.01      0.00      0.00     96.98
01:00:33        all      1.52      0.00      1.01      0.00      0.00     97.47
01:00:34        all      1.02      0.00      1.02      0.00      0.00     97.97
01:00:35        all      2.00      0.00      1.50      0.00      0.00     96.50
01:00:36        all      1.52      0.00      0.51      0.00      0.00     97.97
01:00:37        all      2.01      0.00      1.01      0.00      0.00     96.98
01:00:38        all      2.01      0.00      1.01      0.00      0.00     96.98
01:00:39        all      2.01      0.00      1.01      0.00      0.00     96.98
01:00:40        all      2.50      0.00      0.50      0.00      0.00     97.00
01:00:41        all      2.01      0.00      1.01      0.00      0.50     96.48
01:00:42        all      1.02      0.00      1.02      0.00      0.00     97.97
01:00:43        all      2.02      0.00      1.01      0.00      0.00     96.97
01:00:44        all      2.01      0.00      0.50      0.00      0.00     97.49
01:00:45        all      1.51      0.00      1.51      0.00      0.00     96.98
01:00:46        all      2.02      0.00      1.01      0.00      0.00     96.97
01:00:47        all      2.51      0.00      1.01      0.00      0.00     96.48
01:00:48        all      2.03      0.00      1.02      0.51      0.00     96.45
01:00:49        all      2.01      0.00      0.50      0.00      0.50     96.98
01:00:50        all      1.52      0.00      1.01      0.00      0.00     97.47
01:00:51        all      1.01      0.00      1.52      0.00      0.00     97.47
01:00:52        all      2.02      0.00      0.51      0.00      0.00     97.47
01:00:53        all      1.52      0.00      0.51      0.00      0.00     97.98
01:00:54        all      2.50      0.00      1.00      0.00      0.00     96.50
01:00:55        all      1.52      0.00      1.01      0.00      0.00     97.47
01:00:56        all      1.52      0.00      0.51      0.00      0.00     97.98
01:00:57        all      1.52      0.00      0.51      0.00      0.00     97.97
01:00:58        all      2.02      0.00      1.01      0.00      0.00     96.97
01:00:59        all      1.01      0.00      1.51      0.00      0.00     97.49
01:01:00        all      2.01      0.00      1.01      0.00      0.00     96.98
01:01:01        all      1.51      0.00      1.01      0.00      0.00     97.49
01:01:02        all      1.52      0.00      0.00      0.00      0.00     98.48
01:01:03        all      1.51      0.00      1.01      0.00      0.00     97.49
01:01:04        all      2.00      0.00      1.50      0.00      0.00     96.50
01:01:05        all      2.03      0.00      0.00      0.00      0.00     97.97
01:01:06        all      2.02      0.00      0.51      0.00      0.00     97.47
01:01:07        all      2.00      0.00      1.50      0.00      0.00     96.50
01:01:08        all      1.52      0.00      0.51      0.00      0.00     97.97
01:01:09        all      1.52      0.00      1.01      0.00      0.00     97.47
01:01:10        all      2.01      0.00      0.50      0.00      0.00     97.49
01:01:11        all      2.00      0.00      1.00      0.00      0.00     97.00
01:01:12        all      1.52      0.00      1.01      0.00      0.00     97.47
01:01:13        all      2.03      0.00      1.02      0.00      0.00     96.95
01:01:14        all      2.01      0.00      0.50      0.00      0.00     97.49
01:01:15        all      1.02      0.00      0.51      0.00      0.00     98.47
01:01:16        all      2.01      0.00      1.01      0.00      0.00     96.98
01:01:17        all      2.02      0.00      0.51      0.00      0.00     97.47
01:01:18        all      1.50      0.00      1.50      0.50      0.50     96.00
01:01:19        all      2.01      0.00      1.01      0.00      0.00     96.98
01:01:20        all      2.04      0.00      0.00      0.00      0.00     97.96
01:01:21        all      1.52      0.00      1.01      0.00      0.00     97.47
01:01:22        all      0.50      0.00      0.00      0.00      0.00     99.50
01:01:23        all      0.50      0.00      0.00      0.00      0.00     99.50

Average:        all      7.22      0.00      1.20      0.02      0.04     91.53
