Linux 7.0.0-1008-aws (ip-172-31-20-134) 	08/07/26 	_x86_64_	(2 CPU)

11:00:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:20        all      1.52      0.00      1.01      0.00      0.00     97.47
11:00:21        all      0.50      0.00      0.00      0.00      0.00     99.50
11:00:22        all      0.50      0.00      0.50      0.00      0.00     99.00
11:00:23        all      0.00      0.00      0.00      0.00      0.00    100.00
11:00:24        all      0.50      0.00      0.00      0.00      0.00     99.50
11:00:25        all      0.00      0.00      0.00      0.00      0.00    100.00
11:00:26        all      0.50      0.00      1.00      0.00      0.00     98.51
11:00:27        all     10.66      0.00      2.03      0.00      0.00     87.31
11:00:28        all     10.66      0.00      1.02      0.00      0.00     88.32
11:00:29        all     15.31      0.00      2.55      0.00      0.00     82.14
11:00:30        all     10.66      0.00      2.03      0.00      0.00     87.31
11:00:31        all      9.69      0.00      1.53      0.00      0.00     88.78
11:00:32        all     10.20      0.00      1.02      0.00      0.00     88.78
11:00:33        all     11.50      0.00      1.50      1.00      0.00     86.00
11:00:34        all      9.79      0.00      1.55      0.52      0.00     88.14
11:00:35        all     10.15      0.00      1.52      0.00      0.00     88.32
11:00:36        all     10.26      0.00      0.51      0.00      0.00     89.23
11:00:37        all     10.71      0.00      1.53      0.00      0.00     87.76
11:00:38        all     10.10      0.00      1.01      0.00      0.51     88.38
11:00:39        all     11.22      0.00      1.02      0.00      0.00     87.76
11:00:40        all     10.55      0.00      1.51      0.00      0.00     87.94
11:00:41        all      9.74      0.00      1.03      0.00      0.00     89.23
11:00:42        all     10.77      0.00      1.03      0.00      0.00     88.21
11:00:43        all     10.45      0.00      1.99      0.00      0.50     87.06
11:00:44        all     16.41      0.00      2.05      0.00      0.00     81.54
11:00:45        all     10.20      0.00      1.02      0.00      0.00     88.78
11:00:46        all     10.15      0.00      2.03      0.00      0.00     87.82
11:00:47        all     10.66      0.00      1.02      0.00      0.00     88.32
11:00:48        all     10.66      0.00      1.52      0.51      0.00     87.31
11:00:49        all     10.71      0.00      1.02      0.00      0.00     88.27
11:00:50        all     10.61      0.00      1.52      0.00      0.00     87.88
11:00:51        all     10.20      0.00      1.53      0.00      0.00     88.27
11:00:52        all     10.71      0.00      1.02      0.00      0.00     88.27
11:00:53        all     14.65      0.00      1.01      0.00      0.00     84.34
11:00:54        all     10.20      0.00      1.02      0.00      0.00     88.78
11:00:55        all     10.15      0.00      2.03      0.00      0.00     87.82
11:00:56        all     10.71      0.00      1.02      0.00      0.00     88.27
11:00:57        all     10.66      0.00      1.02      0.00      0.00     88.32
11:00:58        all     10.20      0.00      1.02      0.00      0.00     88.78
11:00:59        all     16.33      0.00      2.04      0.00      0.00     81.63
11:01:00        all     10.66      0.00      1.02      0.00      1.52     86.80
11:01:01        all      9.09      0.00      2.02      0.00      0.51     88.38
11:01:02        all      8.21      0.00      0.51      0.00      0.00     91.28
11:01:03        all     10.15      0.00      1.52      0.51      0.00     87.82
11:01:04        all     11.11      0.00      2.02      0.51      0.00     86.36
11:01:05        all     10.20      0.00      0.51      0.00      0.00     89.29
11:01:06        all     11.11      0.00      1.01      0.00      0.00     87.88
11:01:07        all     10.20      0.00      1.53      0.00      0.51     87.76
11:01:08        all     10.10      0.00      2.02      0.00      0.00     87.88
11:01:09        all     10.10      0.00      2.02      0.00      0.00     87.88
11:01:10        all     11.17      0.00      1.02      0.00      0.00     87.82
11:01:11        all     10.26      0.00      1.03      0.00      0.00     88.72
11:01:12        all     10.55      0.00      2.51      0.00      0.00     86.93
11:01:13        all      9.69      0.00      1.02      0.00      0.00     89.29
11:01:14        all     16.33      0.00      2.55      0.00      0.00     81.12
11:01:15        all     10.20      0.00      1.02      0.00      0.00     88.78
11:01:16        all     10.66      0.00      1.02      0.00      0.00     88.32
11:01:17        all     11.22      0.00      0.51      0.00      0.00     88.27
11:01:18        all     10.15      0.00      1.02      0.00      0.51     88.32
11:01:19        all      9.64      0.00      2.03      0.00      0.00     88.32
11:01:20        all     10.66      0.00      1.02      0.00      0.00     88.32
11:01:21        all     10.20      0.00      1.02      0.00      0.00     88.78
11:01:22        all      2.51      0.00      1.01      0.50      0.00     95.98
11:01:23        all      0.00      0.00      0.00      0.00      0.00    100.00
11:01:24        all      0.00      0.00      0.00      0.00      0.00    100.00

Average:        all      9.26      0.00      1.23      0.05      0.06     89.39
