"Domain","Timestamp","Resolver","Status","Query Time"
"test.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","114.7"
"test0.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","43.0"
"test1.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","46.8"
"test2.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","46.1"
"test3.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","47.5"
"test4.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","47.9"
"test5.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","44.5"
"test6.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","44.8"
"test7.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","42.9"
"test8.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","44.4"
"test9.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","44.3"
"test10.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","46.8"
"test11.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","45.3"
"test12.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","44.6"
"test13.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","44.9"
"test14.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","44.8"
"test15.FALCON512-SYDNEY0608.test","2026-08-07 06:09:21 UTC","16.51.167.219@853","NOERROR","45.0"
"test16.FALCON512-SYDNEY0608.test","2026-08-07 06:09:22 UTC","16.51.167.219@853","NOERROR","47.1"
"test17.FALCON512-SYDNEY0608.test","2026-08-07 06:09:22 UTC","16.51.167.219@853","NOERROR","44.3"
"test18.FALCON512-SYDNEY0608.test","2026-08-07 06:09:22 UTC","16.51.167.219@853","NOERROR","45.2"
"test19.FALCON512-SYDNEY0608.test","2026-08-07 06:09:22 UTC","16.51.167.219@853","NOERROR","46.5"
"test20.FALCON512-SYDNEY0608.test","2026-08-07 06:09:22 UTC","16.51.167.219@853","NOERROR","43.6"
"test21.FALCON512-SYDNEY0608.test","2026-08-07 06:09:22 UTC","16.51.167.219@853","NOERROR","47.2"
"test22.FALCON512-SYDNEY0608.test","2026-08-07 06:09:22 UTC","16.51.167.219@853","NOERROR","44.6"
