"Domain","Timestamp","Resolver","Status","Query Time"
"test.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:42 UTC","16.51.167.219@853","NOERROR","114.0"
"test0.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:42 UTC","16.51.167.219@853","NOERROR","47.2"
"test1.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:42 UTC","16.51.167.219@853","NOERROR","46.4"
"test2.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:42 UTC","16.51.167.219@853","NOERROR","41.5"
"test3.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:42 UTC","16.51.167.219@853","NOERROR","44.7"
"test4.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:42 UTC","16.51.167.219@853","NOERROR","41.6"
"test5.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:42 UTC","16.51.167.219@853","NOERROR","46.7"
"test6.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:42 UTC","16.51.167.219@853","NOERROR","44.6"
"test7.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:42 UTC","16.51.167.219@853","NOERROR","44.6"
"test8.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:42 UTC","16.51.167.219@853","NOERROR","43.2"
"test9.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:42 UTC","16.51.167.219@853","NOERROR","43.7"
"test10.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","46.0"
"test11.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","42.3"
"test12.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","45.5"
"test13.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","42.8"
"test14.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","41.6"
"test15.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","43.2"
"test16.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","44.7"
"test17.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","41.7"
"test18.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","41.7"
"test19.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","41.4"
"test20.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","45.3"
"test21.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","43.1"
"test22.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","42.0"
"test23.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","44.8"
"test24.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","45.8"
"test25.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","43.0"
"test26.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","42.6"
"test27.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","44.2"
"test28.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:43 UTC","16.51.167.219@853","NOERROR","41.5"
"test29.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","45.4"
"test30.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","42.0"
"test31.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","42.8"
"test32.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","41.7"
"test33.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","43.4"
"test34.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","45.2"
"test35.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","42.6"
"test36.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","41.6"
"test37.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","43.5"
"test38.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","42.0"
"test39.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","43.2"
"test40.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","47.2"
"test41.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","41.7"
"test42.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","45.7"
"test43.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","42.6"
"test44.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","43.8"
"test45.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","45.9"
"test46.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","45.4"
"test47.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:44 UTC","16.51.167.219@853","NOERROR","45.8"
"test48.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","43.5"
"test49.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","43.8"
"test50.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","47.2"
"test51.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","44.7"
"test52.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","47.0"
"test53.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","43.7"
"test54.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","45.3"
"test55.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","41.7"
"test56.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","45.2"
"test57.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","43.5"
"test58.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","46.7"
"test59.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","46.0"
"test60.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","43.5"
"test61.MLDSA44-SYDNEY0608.test","2026-08-07 06:14:45 UTC","16.51.167.219@853","NOERROR","44.4"
