"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:47 UTC","16.51.167.219@853","NOERROR","118.3"
"test0.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:47 UTC","16.51.167.219@853","NOERROR","45.2"
"test1.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:47 UTC","16.51.167.219@853","NOERROR","48.3"
"test2.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:47 UTC","16.51.167.219@853","NOERROR","45.0"
"test3.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:47 UTC","16.51.167.219@853","NOERROR","45.0"
"test4.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:47 UTC","16.51.167.219@853","NOERROR","44.5"
"test5.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:47 UTC","16.51.167.219@853","NOERROR","44.8"
"test6.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:47 UTC","16.51.167.219@853","NOERROR","47.6"
"test7.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:47 UTC","16.51.167.219@853","NOERROR","45.4"
"test8.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","46.8"
"test9.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","44.0"
"test10.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","45.5"
"test11.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","45.8"
"test12.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","44.3"
"test13.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","46.8"
"test14.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","45.6"
"test15.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","45.2"
"test16.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","46.5"
"test17.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","48.1"
"test18.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","46.0"
"test19.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","47.0"
"test20.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","45.9"
"test21.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","44.1"
"test22.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","46.0"
"test23.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","43.4"
"test24.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","50.3"
"test25.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:48 UTC","16.51.167.219@853","NOERROR","46.1"
"test26.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","46.8"
"test27.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","49.6"
"test28.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","45.4"
"test29.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","43.8"
"test30.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","49.0"
"test31.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","45.2"
"test32.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","44.7"
"test33.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","46.5"
"test34.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","48.6"
"test35.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","47.3"
"test36.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","43.1"
"test37.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","44.9"
"test38.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","44.6"
"test39.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","47.4"
"test40.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","44.8"
"test41.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","48.8"
"test42.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","46.0"
"test43.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:49 UTC","16.51.167.219@853","NOERROR","46.8"
"test44.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:50 UTC","16.51.167.219@853","NOERROR","47.9"
"test45.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:50 UTC","16.51.167.219@853","NOERROR","44.6"
"test46.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:10:50 UTC","16.51.167.219@853","NOERROR","45.8"
