"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:58 UTC","16.51.167.219@853","NOERROR","126.9"
"test0.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:58 UTC","16.51.167.219@853","NOERROR","50.9"
"test1.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:58 UTC","16.51.167.219@853","NOERROR","51.3"
"test2.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","45.1"
"test3.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","45.9"
"test4.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","45.8"
"test5.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","48.2"
"test6.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","47.2"
"test7.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","47.4"
"test8.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","43.8"
"test9.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","46.0"
"test10.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","48.5"
"test11.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","45.2"
"test12.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","44.4"
"test13.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","48.2"
"test14.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","44.5"
"test15.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","44.8"
"test16.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","45.5"
"test17.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","46.4"
"test18.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","44.4"
"test19.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:12:59 UTC","16.51.167.219@853","NOERROR","63.7"
"test20.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","46.0"
"test21.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","45.6"
"test22.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","47.3"
"test23.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","45.4"
"test24.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","43.6"
"test25.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","45.7"
"test26.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","46.0"
"test27.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","44.9"
"test28.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","47.5"
"test29.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","43.6"
"test30.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","45.5"
"test31.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","49.2"
"test32.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","44.3"
"test33.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","44.0"
"test34.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","44.9"
"test35.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","44.7"
"test36.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:00 UTC","16.51.167.219@853","NOERROR","45.5"
"test37.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","47.8"
"test38.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","44.4"
"test39.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","43.8"
"test40.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","45.2"
"test41.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","44.7"
"test42.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","46.0"
"test43.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","45.0"
"test44.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","50.9"
"test45.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","49.6"
"test46.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","64.8"
"test47.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","49.0"
"test48.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","47.8"
"test49.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:01 UTC","16.51.167.219@853","NOERROR","51.6"
"test50.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","48.9"
"test51.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","52.5"
"test52.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","49.1"
"test53.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","47.8"
"test54.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","48.3"
"test55.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","51.6"
"test56.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","46.5"
"test57.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","43.8"
"test58.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","48.5"
"test59.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","45.1"
"test60.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","49.1"
"test61.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","44.7"
"test62.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","48.0"
"test63.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","44.8"
"test64.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:02 UTC","16.51.167.219@853","NOERROR","49.0"
"test65.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","48.9"
"test66.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","44.9"
"test67.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","44.2"
"test68.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","43.7"
"test69.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","44.9"
"test70.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","47.2"
"test71.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","45.3"
"test72.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","43.7"
"test73.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","44.9"
"test74.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","44.4"
"test75.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","45.9"
"test76.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","45.5"
"test77.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:13:03 UTC","16.51.167.219@853","NOERROR","45.2"
