"Domain","Timestamp","Resolver","Status","Query Time"
"test.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","113.8"
"test0.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","44.3"
"test1.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","42.2"
"test2.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","41.3"
"test3.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","41.4"
"test4.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","45.8"
"test5.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","41.5"
"test6.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","43.7"
"test7.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","42.8"
"test8.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","44.0"
"test9.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","44.9"
"test10.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","40.8"
"test11.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","42.4"
"test12.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","42.2"
"test13.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:23 UTC","16.51.167.219@853","NOERROR","43.4"
"test14.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:24 UTC","16.51.167.219@853","NOERROR","41.3"
"test15.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:24 UTC","16.51.167.219@853","NOERROR","40.9"
"test16.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:24 UTC","16.51.167.219@853","NOERROR","44.8"
"test17.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:24 UTC","16.51.167.219@853","NOERROR","41.2"
"test18.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:24 UTC","16.51.167.219@853","NOERROR","42.2"
"test19.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:24 UTC","16.51.167.219@853","NOERROR","42.1"
"test20.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:24 UTC","16.51.167.219@853","NOERROR","42.1"
"test21.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:24 UTC","16.51.167.219@853","NOERROR","44.2"
"test22.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:24 UTC","16.51.167.219@853","NOERROR","41.6"
"test23.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:24 UTC","16.51.167.219@853","NOERROR","41.9"
"test24.RSASHA256-SYDNEY0608.test","2026-08-07 06:05:24 UTC","16.51.167.219@853","NOERROR","45.6"
