"Domain","Timestamp","Resolver","Status","Query Time"
"test.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:15 UTC","16.51.167.219@853","NOERROR","120.8"
"test0.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:15 UTC","16.51.167.219@853","NOERROR","60.8"
"test1.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:15 UTC","16.51.167.219@853","NOERROR","63.9"
"test2.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:15 UTC","16.51.167.219@853","NOERROR","60.7"
"test3.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","58.8"
"test4.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","60.9"
"test5.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","60.4"
"test6.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","60.8"
"test7.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","59.4"
"test8.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","62.9"
"test9.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","60.9"
"test10.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","61.5"
"test11.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","57.6"
"test12.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","60.4"
"test13.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","63.8"
"test14.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","63.1"
"test15.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","62.7"
"test16.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:16 UTC","16.51.167.219@853","NOERROR","62.7"
"test17.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:17:17 UTC","16.51.167.219@853","NOERROR","61.3"
