"Domain","Timestamp","Resolver","Status","Query Time"
"test.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:55 UTC","16.51.167.219@853","NOERROR","119.5"
"test0.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","63.7"
"test1.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","59.9"
"test2.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","59.3"
"test3.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","58.1"
"test4.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","57.8"
"test5.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","57.0"
"test6.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","58.8"
"test7.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","59.9"
"test8.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","63.8"
"test9.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","60.5"
"test10.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","58.4"
"test11.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","59.8"
"test12.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","60.6"
"test13.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:56 UTC","16.51.167.219@853","NOERROR","58.0"
"test14.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:57 UTC","16.51.167.219@853","NOERROR","60.6"
"test15.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:57 UTC","16.51.167.219@853","NOERROR","64.0"
"test16.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:57 UTC","16.51.167.219@853","NOERROR","59.9"
"test17.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:57 UTC","16.51.167.219@853","NOERROR","62.0"
"test18.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:57 UTC","16.51.167.219@853","NOERROR","64.0"
"test19.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:19:57 UTC","16.51.167.219@853","NOERROR","56.2"
