"Domain","Timestamp","Resolver","Status","Query Time"
"test.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:54 UTC","16.51.167.219@8853","NOERROR","160.8"
"test0.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:54 UTC","16.51.167.219@8853","NOERROR","80.9"
"test1.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:54 UTC","16.51.167.219@8853","NOERROR","77.5"
"test2.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:54 UTC","16.51.167.219@8853","NOERROR","77.4"
"test3.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:54 UTC","16.51.167.219@8853","NOERROR","80.9"
"test4.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:54 UTC","16.51.167.219@8853","NOERROR","79.8"
"test5.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:55 UTC","16.51.167.219@8853","NOERROR","79.3"
"test6.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:55 UTC","16.51.167.219@8853","NOERROR","86.0"
"test7.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:55 UTC","16.51.167.219@8853","NOERROR","78.1"
"test8.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:55 UTC","16.51.167.219@8853","NOERROR","77.5"
"test9.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:55 UTC","16.51.167.219@8853","NOERROR","75.8"
"test10.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:55 UTC","16.51.167.219@8853","NOERROR","79.3"
"test11.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:55 UTC","16.51.167.219@8853","NOERROR","81.0"
"test12.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:55 UTC","16.51.167.219@8853","NOERROR","76.2"
"test13.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:55 UTC","16.51.167.219@8853","NOERROR","74.0"
"test14.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:55 UTC","16.51.167.219@8853","NOERROR","75.0"
"test15.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:55 UTC","16.51.167.219@8853","NOERROR","79.4"
"test16.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:56 UTC","16.51.167.219@8853","NOERROR","75.8"
"test17.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:56 UTC","16.51.167.219@8853","NOERROR","79.4"
"test18.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:56 UTC","16.51.167.219@8853","NOERROR","74.6"
"test19.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:56 UTC","16.51.167.219@8853","NOERROR","79.0"
"test20.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:56 UTC","16.51.167.219@8853","NOERROR","80.4"
"test21.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:56 UTC","16.51.167.219@8853","NOERROR","80.3"
"test22.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:56 UTC","16.51.167.219@8853","NOERROR","84.4"
"test23.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:56 UTC","16.51.167.219@8853","NOERROR","79.8"
"test24.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:56 UTC","16.51.167.219@8853","NOERROR","77.9"
"test25.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:56 UTC","16.51.167.219@8853","NOERROR","79.1"
"test26.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:56 UTC","16.51.167.219@8853","NOERROR","79.8"
"test27.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:57 UTC","16.51.167.219@8853","NOERROR","80.5"
"test28.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:57 UTC","16.51.167.219@8853","NOERROR","78.8"
"test29.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:57 UTC","16.51.167.219@8853","NOERROR","84.6"
"test30.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:00:57 UTC","16.51.167.219@8853","NOERROR","78.8"
