"Domain","Timestamp","Resolver","Status","Query Time"
"test.FALCON512-SYDNEY0608.test","2026-08-07 06:48:57 UTC","16.51.167.219@8853","NOERROR","166.0"
"test0.FALCON512-SYDNEY0608.test","2026-08-07 06:48:57 UTC","16.51.167.219@8853","NOERROR","80.0"
"test1.FALCON512-SYDNEY0608.test","2026-08-07 06:48:58 UTC","16.51.167.219@8853","NOERROR","76.7"
"test2.FALCON512-SYDNEY0608.test","2026-08-07 06:48:58 UTC","16.51.167.219@8853","NOERROR","77.5"
"test3.FALCON512-SYDNEY0608.test","2026-08-07 06:48:58 UTC","16.51.167.219@8853","NOERROR","81.4"
"test4.FALCON512-SYDNEY0608.test","2026-08-07 06:48:58 UTC","16.51.167.219@8853","NOERROR","76.2"
"test5.FALCON512-SYDNEY0608.test","2026-08-07 06:48:58 UTC","16.51.167.219@8853","NOERROR","76.8"
"test6.FALCON512-SYDNEY0608.test","2026-08-07 06:48:58 UTC","16.51.167.219@8853","NOERROR","82.5"
"test7.FALCON512-SYDNEY0608.test","2026-08-07 06:48:58 UTC","16.51.167.219@8853","NOERROR","82.7"
"test8.FALCON512-SYDNEY0608.test","2026-08-07 06:48:58 UTC","16.51.167.219@8853","NOERROR","84.5"
"test9.FALCON512-SYDNEY0608.test","2026-08-07 06:48:58 UTC","16.51.167.219@8853","NOERROR","84.7"
"test10.FALCON512-SYDNEY0608.test","2026-08-07 06:48:58 UTC","16.51.167.219@8853","NOERROR","84.0"
"test11.FALCON512-SYDNEY0608.test","2026-08-07 06:48:58 UTC","16.51.167.219@8853","NOERROR","82.4"
"test12.FALCON512-SYDNEY0608.test","2026-08-07 06:48:59 UTC","16.51.167.219@8853","NOERROR","87.0"
"test13.FALCON512-SYDNEY0608.test","2026-08-07 06:48:59 UTC","16.51.167.219@8853","NOERROR","83.3"
"test14.FALCON512-SYDNEY0608.test","2026-08-07 06:48:59 UTC","16.51.167.219@8853","NOERROR","81.1"
"test15.FALCON512-SYDNEY0608.test","2026-08-07 06:48:59 UTC","16.51.167.219@8853","NOERROR","80.4"
"test16.FALCON512-SYDNEY0608.test","2026-08-07 06:48:59 UTC","16.51.167.219@8853","NOERROR","86.4"
"test17.FALCON512-SYDNEY0608.test","2026-08-07 06:48:59 UTC","16.51.167.219@8853","NOERROR","77.2"
"test18.FALCON512-SYDNEY0608.test","2026-08-07 06:48:59 UTC","16.51.167.219@8853","NOERROR","82.0"
"test19.FALCON512-SYDNEY0608.test","2026-08-07 06:48:59 UTC","16.51.167.219@8853","NOERROR","82.2"
"test20.FALCON512-SYDNEY0608.test","2026-08-07 06:48:59 UTC","16.51.167.219@8853","NOERROR","83.5"
"test21.FALCON512-SYDNEY0608.test","2026-08-07 06:48:59 UTC","16.51.167.219@8853","NOERROR","78.0"
"test22.FALCON512-SYDNEY0608.test","2026-08-07 06:48:59 UTC","16.51.167.219@8853","NOERROR","77.1"
"test23.FALCON512-SYDNEY0608.test","2026-08-07 06:49:00 UTC","16.51.167.219@8853","NOERROR","99.5"
"test24.FALCON512-SYDNEY0608.test","2026-08-07 06:49:00 UTC","16.51.167.219@8853","NOERROR","79.6"
"test25.FALCON512-SYDNEY0608.test","2026-08-07 06:49:00 UTC","16.51.167.219@8853","NOERROR","76.4"
"test26.FALCON512-SYDNEY0608.test","2026-08-07 06:49:00 UTC","16.51.167.219@8853","NOERROR","81.6"
"test27.FALCON512-SYDNEY0608.test","2026-08-07 06:49:00 UTC","16.51.167.219@8853","NOERROR","79.9"
"test28.FALCON512-SYDNEY0608.test","2026-08-07 06:49:00 UTC","16.51.167.219@8853","NOERROR","83.1"
"test29.FALCON512-SYDNEY0608.test","2026-08-07 06:49:00 UTC","16.51.167.219@8853","NOERROR","79.8"
"test30.FALCON512-SYDNEY0608.test","2026-08-07 06:49:00 UTC","16.51.167.219@8853","NOERROR","82.6"
"test31.FALCON512-SYDNEY0608.test","2026-08-07 06:49:00 UTC","16.51.167.219@8853","NOERROR","79.4"
"test32.FALCON512-SYDNEY0608.test","2026-08-07 06:49:00 UTC","16.51.167.219@8853","NOERROR","81.1"
"test33.FALCON512-SYDNEY0608.test","2026-08-07 06:49:00 UTC","16.51.167.219@8853","NOERROR","79.2"
"test34.FALCON512-SYDNEY0608.test","2026-08-07 06:49:01 UTC","16.51.167.219@8853","NOERROR","84.8"
"test35.FALCON512-SYDNEY0608.test","2026-08-07 06:49:01 UTC","16.51.167.219@8853","NOERROR","78.9"
"test36.FALCON512-SYDNEY0608.test","2026-08-07 06:49:01 UTC","16.51.167.219@8853","NOERROR","81.2"
"test37.FALCON512-SYDNEY0608.test","2026-08-07 06:49:01 UTC","16.51.167.219@8853","NOERROR","86.2"
"test38.FALCON512-SYDNEY0608.test","2026-08-07 06:49:01 UTC","16.51.167.219@8853","NOERROR","101.1"
"test39.FALCON512-SYDNEY0608.test","2026-08-07 06:49:01 UTC","16.51.167.219@8853","NOERROR","86.7"
"test40.FALCON512-SYDNEY0608.test","2026-08-07 06:49:01 UTC","16.51.167.219@8853","NOERROR","95.3"
"test41.FALCON512-SYDNEY0608.test","2026-08-07 06:49:02 UTC","16.51.167.219@8853","NOERROR","93.2"
"test42.FALCON512-SYDNEY0608.test","2026-08-07 06:49:02 UTC","16.51.167.219@8853","NOERROR","78.6"
"test43.FALCON512-SYDNEY0608.test","2026-08-07 06:49:02 UTC","16.51.167.219@8853","NOERROR","76.3"
"test44.FALCON512-SYDNEY0608.test","2026-08-07 06:49:02 UTC","16.51.167.219@8853","NOERROR","78.3"
"test45.FALCON512-SYDNEY0608.test","2026-08-07 06:49:02 UTC","16.51.167.219@8853","NOERROR","78.7"
"test46.FALCON512-SYDNEY0608.test","2026-08-07 06:49:02 UTC","16.51.167.219@8853","NOERROR","78.2"
"test47.FALCON512-SYDNEY0608.test","2026-08-07 06:49:02 UTC","16.51.167.219@8853","NOERROR","83.9"
"test48.FALCON512-SYDNEY0608.test","2026-08-07 06:49:02 UTC","16.51.167.219@8853","NOERROR","76.3"
"test49.FALCON512-SYDNEY0608.test","2026-08-07 06:49:02 UTC","16.51.167.219@8853","NOERROR","78.3"
"test50.FALCON512-SYDNEY0608.test","2026-08-07 06:49:02 UTC","16.51.167.219@8853","NOERROR","79.1"
"test51.FALCON512-SYDNEY0608.test","2026-08-07 06:49:02 UTC","16.51.167.219@8853","NOERROR","80.3"
"test52.FALCON512-SYDNEY0608.test","2026-08-07 06:49:03 UTC","16.51.167.219@8853","NOERROR","81.7"
"test53.FALCON512-SYDNEY0608.test","2026-08-07 06:49:03 UTC","16.51.167.219@8853","NOERROR","81.0"
"test54.FALCON512-SYDNEY0608.test","2026-08-07 06:49:03 UTC","16.51.167.219@8853","NOERROR","78.0"
"test55.FALCON512-SYDNEY0608.test","2026-08-07 06:49:03 UTC","16.51.167.219@8853","NOERROR","80.9"
"test56.FALCON512-SYDNEY0608.test","2026-08-07 06:49:03 UTC","16.51.167.219@8853","NOERROR","84.1"
"test57.FALCON512-SYDNEY0608.test","2026-08-07 06:49:03 UTC","16.51.167.219@8853","NOERROR","84.6"
"test58.FALCON512-SYDNEY0608.test","2026-08-07 06:49:03 UTC","16.51.167.219@8853","NOERROR","78.1"
"test59.FALCON512-SYDNEY0608.test","2026-08-07 06:49:03 UTC","16.51.167.219@8853","NOERROR","75.8"
"test60.FALCON512-SYDNEY0608.test","2026-08-07 06:49:03 UTC","16.51.167.219@8853","NOERROR","81.2"
"test61.FALCON512-SYDNEY0608.test","2026-08-07 06:49:03 UTC","16.51.167.219@8853","NOERROR","79.3"
"test62.FALCON512-SYDNEY0608.test","2026-08-07 06:49:03 UTC","16.51.167.219@8853","NOERROR","80.5"
"test63.FALCON512-SYDNEY0608.test","2026-08-07 06:49:04 UTC","16.51.167.219@8853","NOERROR","84.5"
"test64.FALCON512-SYDNEY0608.test","2026-08-07 06:49:04 UTC","16.51.167.219@8853","NOERROR","86.5"
"test65.FALCON512-SYDNEY0608.test","2026-08-07 06:49:04 UTC","16.51.167.219@8853","NOERROR","76.6"
"test66.FALCON512-SYDNEY0608.test","2026-08-07 06:49:04 UTC","16.51.167.219@8853","NOERROR","81.9"
"test67.FALCON512-SYDNEY0608.test","2026-08-07 06:49:04 UTC","16.51.167.219@8853","NOERROR","77.3"
"test68.FALCON512-SYDNEY0608.test","2026-08-07 06:49:04 UTC","16.51.167.219@8853","NOERROR","76.7"
"test69.FALCON512-SYDNEY0608.test","2026-08-07 06:49:04 UTC","16.51.167.219@8853","NOERROR","77.3"
"test70.FALCON512-SYDNEY0608.test","2026-08-07 06:49:04 UTC","16.51.167.219@8853","NOERROR","77.7"
"test71.FALCON512-SYDNEY0608.test","2026-08-07 06:49:04 UTC","16.51.167.219@8853","NOERROR","76.4"
"test72.FALCON512-SYDNEY0608.test","2026-08-07 06:49:04 UTC","16.51.167.219@8853","NOERROR","85.7"
"test73.FALCON512-SYDNEY0608.test","2026-08-07 06:49:04 UTC","16.51.167.219@8853","NOERROR","80.9"
"test74.FALCON512-SYDNEY0608.test","2026-08-07 06:49:05 UTC","16.51.167.219@8853","NOERROR","82.8"
"test75.FALCON512-SYDNEY0608.test","2026-08-07 06:49:05 UTC","16.51.167.219@8853","NOERROR","80.3"
