"Domain","Timestamp","Resolver","Status","Query Time"
"test.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:18 UTC","16.51.167.219@8853","NOERROR","155.7"
"test0.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:18 UTC","16.51.167.219@8853","NOERROR","81.7"
"test1.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:18 UTC","16.51.167.219@8853","NOERROR","79.4"
"test2.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:18 UTC","16.51.167.219@8853","NOERROR","79.4"
"test3.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:18 UTC","16.51.167.219@8853","NOERROR","85.9"
"test4.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:19 UTC","16.51.167.219@8853","NOERROR","78.8"
"test5.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:19 UTC","16.51.167.219@8853","NOERROR","81.2"
"test6.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:19 UTC","16.51.167.219@8853","NOERROR","76.9"
"test7.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:19 UTC","16.51.167.219@8853","NOERROR","75.6"
"test8.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:19 UTC","16.51.167.219@8853","NOERROR","77.7"
"test9.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:19 UTC","16.51.167.219@8853","NOERROR","81.0"
"test10.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:19 UTC","16.51.167.219@8853","NOERROR","81.5"
"test11.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:19 UTC","16.51.167.219@8853","NOERROR","80.2"
"test12.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:19 UTC","16.51.167.219@8853","NOERROR","80.2"
"test13.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:19 UTC","16.51.167.219@8853","NOERROR","79.0"
"test14.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:19 UTC","16.51.167.219@8853","NOERROR","80.5"
"test15.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:20 UTC","16.51.167.219@8853","NOERROR","77.2"
"test16.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:20 UTC","16.51.167.219@8853","NOERROR","77.8"
"test17.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:20 UTC","16.51.167.219@8853","NOERROR","80.8"
"test18.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:20 UTC","16.51.167.219@8853","NOERROR","77.5"
"test19.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:20 UTC","16.51.167.219@8853","NOERROR","75.3"
"test20.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:20 UTC","16.51.167.219@8853","NOERROR","77.0"
"test21.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:20 UTC","16.51.167.219@8853","NOERROR","82.9"
"test22.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:20 UTC","16.51.167.219@8853","NOERROR","76.7"
"test23.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:20 UTC","16.51.167.219@8853","NOERROR","75.0"
"test24.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:20 UTC","16.51.167.219@8853","NOERROR","79.9"
"test25.MLDSA44-SYDNEY0608.test","2026-08-07 06:56:20 UTC","16.51.167.219@8853","NOERROR","75.9"
