"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:26 UTC","16.51.167.219@8853","NOERROR","155.9"
"test0.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:26 UTC","16.51.167.219@8853","NOERROR","85.8"
"test1.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:26 UTC","16.51.167.219@8853","NOERROR","77.4"
"test2.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:26 UTC","16.51.167.219@8853","NOERROR","82.4"
"test3.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:26 UTC","16.51.167.219@8853","NOERROR","79.1"
"test4.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:26 UTC","16.51.167.219@8853","NOERROR","83.6"
"test5.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:26 UTC","16.51.167.219@8853","NOERROR","78.1"
"test6.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:26 UTC","16.51.167.219@8853","NOERROR","75.7"
"test7.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:26 UTC","16.51.167.219@8853","NOERROR","76.9"
"test8.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:27 UTC","16.51.167.219@8853","NOERROR","78.3"
"test9.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:27 UTC","16.51.167.219@8853","NOERROR","82.1"
"test10.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:27 UTC","16.51.167.219@8853","NOERROR","83.3"
"test11.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:27 UTC","16.51.167.219@8853","NOERROR","78.8"
"test12.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:27 UTC","16.51.167.219@8853","NOERROR","88.0"
"test13.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:27 UTC","16.51.167.219@8853","NOERROR","84.7"
"test14.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:27 UTC","16.51.167.219@8853","NOERROR","82.6"
"test15.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:27 UTC","16.51.167.219@8853","NOERROR","83.3"
"test16.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:27 UTC","16.51.167.219@8853","NOERROR","77.2"
"test17.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:27 UTC","16.51.167.219@8853","NOERROR","82.0"
"test18.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:27 UTC","16.51.167.219@8853","NOERROR","83.4"
"test19.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:28 UTC","16.51.167.219@8853","NOERROR","79.4"
"test20.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:28 UTC","16.51.167.219@8853","NOERROR","81.2"
"test21.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:28 UTC","16.51.167.219@8853","NOERROR","80.0"
"test22.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:28 UTC","16.51.167.219@8853","NOERROR","80.5"
"test23.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:28 UTC","16.51.167.219@8853","NOERROR","80.9"
"test24.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:28 UTC","16.51.167.219@8853","NOERROR","78.8"
"test25.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:28 UTC","16.51.167.219@8853","NOERROR","79.1"
"test26.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:28 UTC","16.51.167.219@8853","NOERROR","83.7"
"test27.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:28 UTC","16.51.167.219@8853","NOERROR","80.9"
"test28.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:28 UTC","16.51.167.219@8853","NOERROR","76.9"
"test29.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:28 UTC","16.51.167.219@8853","NOERROR","81.3"
"test30.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:29 UTC","16.51.167.219@8853","NOERROR","78.8"
"test31.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:29 UTC","16.51.167.219@8853","NOERROR","82.3"
"test32.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:29 UTC","16.51.167.219@8853","NOERROR","84.1"
"test33.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:29 UTC","16.51.167.219@8853","NOERROR","86.0"
"test34.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:29 UTC","16.51.167.219@8853","NOERROR","78.8"
"test35.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:29 UTC","16.51.167.219@8853","NOERROR","83.7"
"test36.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:29 UTC","16.51.167.219@8853","NOERROR","84.1"
"test37.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:29 UTC","16.51.167.219@8853","NOERROR","81.1"
"test38.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:29 UTC","16.51.167.219@8853","NOERROR","78.4"
"test39.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:29 UTC","16.51.167.219@8853","NOERROR","81.4"
"test40.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:29 UTC","16.51.167.219@8853","NOERROR","80.3"
"test41.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:30 UTC","16.51.167.219@8853","NOERROR","76.0"
"test42.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:30 UTC","16.51.167.219@8853","NOERROR","86.7"
"test43.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:30 UTC","16.51.167.219@8853","NOERROR","77.6"
"test44.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:30 UTC","16.51.167.219@8853","NOERROR","80.8"
"test45.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:30 UTC","16.51.167.219@8853","NOERROR","80.3"
"test46.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:30 UTC","16.51.167.219@8853","NOERROR","76.7"
"test47.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:30 UTC","16.51.167.219@8853","NOERROR","82.2"
"test48.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:30 UTC","16.51.167.219@8853","NOERROR","78.6"
"test49.P256-FALCON512-SYDNEY0608.test","2026-08-07 06:51:30 UTC","16.51.167.219@8853","NOERROR","79.5"
