"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:57 UTC","16.51.167.219@8853","NOERROR","167.0"
"test0.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:57 UTC","16.51.167.219@8853","NOERROR","83.8"
"test1.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:57 UTC","16.51.167.219@8853","NOERROR","78.7"
"test2.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:57 UTC","16.51.167.219@8853","NOERROR","88.9"
"test3.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:57 UTC","16.51.167.219@8853","NOERROR","78.4"
"test4.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:58 UTC","16.51.167.219@8853","NOERROR","86.4"
"test5.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:58 UTC","16.51.167.219@8853","NOERROR","82.2"
"test6.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:58 UTC","16.51.167.219@8853","NOERROR","83.2"
"test7.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:58 UTC","16.51.167.219@8853","NOERROR","79.9"
"test8.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:58 UTC","16.51.167.219@8853","NOERROR","82.7"
"test9.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:58 UTC","16.51.167.219@8853","NOERROR","82.7"
"test10.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:58 UTC","16.51.167.219@8853","NOERROR","77.5"
"test11.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:58 UTC","16.51.167.219@8853","NOERROR","84.0"
"test12.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:58 UTC","16.51.167.219@8853","NOERROR","82.9"
"test13.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:58 UTC","16.51.167.219@8853","NOERROR","78.5"
"test14.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:58 UTC","16.51.167.219@8853","NOERROR","79.1"
"test15.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:59 UTC","16.51.167.219@8853","NOERROR","80.6"
"test16.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:59 UTC","16.51.167.219@8853","NOERROR","82.4"
"test17.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:59 UTC","16.51.167.219@8853","NOERROR","84.2"
"test18.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:59 UTC","16.51.167.219@8853","NOERROR","82.8"
"test19.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:59 UTC","16.51.167.219@8853","NOERROR","88.6"
"test20.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:59 UTC","16.51.167.219@8853","NOERROR","80.5"
"test21.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:59 UTC","16.51.167.219@8853","NOERROR","80.3"
"test22.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:59 UTC","16.51.167.219@8853","NOERROR","86.5"
"test23.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:59 UTC","16.51.167.219@8853","NOERROR","83.5"
"test24.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:59 UTC","16.51.167.219@8853","NOERROR","85.0"
"test25.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:53:59 UTC","16.51.167.219@8853","NOERROR","96.1"
"test26.P256-MLDSA44-SYDNEY0608.test","2026-08-07 06:54:00 UTC","16.51.167.219@8853","NOERROR","85.9"
