"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:34 UTC","16.51.167.219@8853","NOERROR","181.0"
"test0.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:34 UTC","16.51.167.219@8853","NOERROR","89.7"
"test1.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:34 UTC","16.51.167.219@8853","NOERROR","90.9"
"test2.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:34 UTC","16.51.167.219@8853","NOERROR","94.3"
"test3.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:34 UTC","16.51.167.219@8853","NOERROR","90.9"
"test4.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:34 UTC","16.51.167.219@8853","NOERROR","96.3"
"test5.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:34 UTC","16.51.167.219@8853","NOERROR","93.4"
"test6.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:34 UTC","16.51.167.219@8853","NOERROR","93.8"
"test7.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:35 UTC","16.51.167.219@8853","NOERROR","89.0"
"test8.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:35 UTC","16.51.167.219@8853","NOERROR","90.4"
"test9.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:35 UTC","16.51.167.219@8853","NOERROR","100.4"
"test10.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:35 UTC","16.51.167.219@8853","NOERROR","94.2"
"test11.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:35 UTC","16.51.167.219@8853","NOERROR","92.0"
"test12.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:35 UTC","16.51.167.219@8853","NOERROR","91.3"
"test13.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:35 UTC","16.51.167.219@8853","NOERROR","103.6"
"test14.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:35 UTC","16.51.167.219@8853","NOERROR","91.0"
"test15.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:35 UTC","16.51.167.219@8853","NOERROR","95.9"
"test16.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:35 UTC","16.51.167.219@8853","NOERROR","97.8"
"test17.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:36 UTC","16.51.167.219@8853","NOERROR","100.9"
"test18.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:36 UTC","16.51.167.219@8853","NOERROR","96.6"
"test19.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:36 UTC","16.51.167.219@8853","NOERROR","101.9"
"test20.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:36 UTC","16.51.167.219@8853","NOERROR","95.8"
"test21.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:36 UTC","16.51.167.219@8853","NOERROR","95.3"
"test22.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:36 UTC","16.51.167.219@8853","NOERROR","98.4"
"test23.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:36 UTC","16.51.167.219@8853","NOERROR","98.6"
"test24.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:36 UTC","16.51.167.219@8853","NOERROR","96.6"
"test25.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:36 UTC","16.51.167.219@8853","NOERROR","92.2"
"test26.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:37 UTC","16.51.167.219@8853","NOERROR","96.6"
"test27.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:37 UTC","16.51.167.219@8853","NOERROR","89.1"
"test28.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:37 UTC","16.51.167.219@8853","NOERROR","92.1"
"test29.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:37 UTC","16.51.167.219@8853","NOERROR","93.3"
"test30.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:37 UTC","16.51.167.219@8853","NOERROR","94.3"
"test31.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:43:37 UTC","16.51.167.219@8853","NOERROR","90.0"
