"Domain","Timestamp","Resolver","Status","Query Time"
"test.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:38 UTC","16.51.167.219@8853","NOERROR","155.9"
"test0.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:38 UTC","16.51.167.219@8853","NOERROR","78.4"
"test1.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:38 UTC","16.51.167.219@8853","NOERROR","73.5"
"test2.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:38 UTC","16.51.167.219@8853","NOERROR","75.2"
"test3.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:38 UTC","16.51.167.219@8853","NOERROR","84.2"
"test4.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:39 UTC","16.51.167.219@8853","NOERROR","75.5"
"test5.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:39 UTC","16.51.167.219@8853","NOERROR","85.7"
"test6.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:39 UTC","16.51.167.219@8853","NOERROR","79.0"
"test7.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:39 UTC","16.51.167.219@8853","NOERROR","78.7"
"test8.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:39 UTC","16.51.167.219@8853","NOERROR","80.9"
"test9.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:39 UTC","16.51.167.219@8853","NOERROR","74.6"
"test10.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:39 UTC","16.51.167.219@8853","NOERROR","78.0"
"test11.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:39 UTC","16.51.167.219@8853","NOERROR","80.5"
"test12.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:39 UTC","16.51.167.219@8853","NOERROR","78.7"
"test13.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:39 UTC","16.51.167.219@8853","NOERROR","75.7"
"test14.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:39 UTC","16.51.167.219@8853","NOERROR","76.7"
"test15.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","76.8"
"test16.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","82.3"
"test17.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","81.7"
"test18.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","78.4"
"test19.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","73.9"
"test20.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","77.6"
"test21.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","80.9"
"test22.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","76.5"
"test23.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","74.5"
"test24.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","76.0"
"test25.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","77.4"
"test26.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:40 UTC","16.51.167.219@8853","NOERROR","80.3"
"test27.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:41 UTC","16.51.167.219@8853","NOERROR","78.1"
"test28.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:41 UTC","16.51.167.219@8853","NOERROR","79.0"
"test29.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:41 UTC","16.51.167.219@8853","NOERROR","80.0"
"test30.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:41 UTC","16.51.167.219@8853","NOERROR","74.2"
"test31.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:41 UTC","16.51.167.219@8853","NOERROR","75.3"
"test32.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:41 UTC","16.51.167.219@8853","NOERROR","76.9"
"test33.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:41 UTC","16.51.167.219@8853","NOERROR","78.4"
"test34.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:41 UTC","16.51.167.219@8853","NOERROR","78.5"
"test35.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:41 UTC","16.51.167.219@8853","NOERROR","83.4"
"test36.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:41 UTC","16.51.167.219@8853","NOERROR","78.7"
"test37.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:41 UTC","16.51.167.219@8853","NOERROR","76.9"
"test38.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","79.9"
"test39.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","76.6"
"test40.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","76.7"
"test41.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","75.9"
"test42.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","74.9"
"test43.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","77.0"
"test44.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","73.0"
"test45.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","86.2"
"test46.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","75.4"
"test47.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","77.9"
"test48.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","78.3"
"test49.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:42 UTC","16.51.167.219@8853","NOERROR","75.8"
"test50.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:43 UTC","16.51.167.219@8853","NOERROR","76.1"
"test51.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:43 UTC","16.51.167.219@8853","NOERROR","77.5"
"test52.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:43 UTC","16.51.167.219@8853","NOERROR","74.0"
"test53.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:43 UTC","16.51.167.219@8853","NOERROR","79.8"
"test54.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:43 UTC","16.51.167.219@8853","NOERROR","77.8"
"test55.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:43 UTC","16.51.167.219@8853","NOERROR","76.0"
"test56.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:43 UTC","16.51.167.219@8853","NOERROR","80.3"
"test57.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:43 UTC","16.51.167.219@8853","NOERROR","80.5"
"test58.RSASHA256-SYDNEY0608.test","2026-08-07 06:58:43 UTC","16.51.167.219@8853","NOERROR","77.7"
