"Domain","Timestamp","Resolver","Status","Query Time"
"test.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:29 UTC","16.51.167.219@8853","NOERROR","187.9"
"test0.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:29 UTC","16.51.167.219@8853","NOERROR","97.0"
"test1.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:29 UTC","16.51.167.219@8853","NOERROR","93.1"
"test2.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:29 UTC","16.51.167.219@8853","NOERROR","91.0"
"test3.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:29 UTC","16.51.167.219@8853","NOERROR","93.6"
"test4.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:29 UTC","16.51.167.219@8853","NOERROR","91.4"
"test5.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:30 UTC","16.51.167.219@8853","NOERROR","93.3"
"test6.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:30 UTC","16.51.167.219@8853","NOERROR","91.9"
"test7.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:30 UTC","16.51.167.219@8853","NOERROR","90.4"
"test8.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:30 UTC","16.51.167.219@8853","NOERROR","92.9"
"test9.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:30 UTC","16.51.167.219@8853","NOERROR","92.8"
"test10.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:30 UTC","16.51.167.219@8853","NOERROR","94.8"
"test11.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:30 UTC","16.51.167.219@8853","NOERROR","89.0"
"test12.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:30 UTC","16.51.167.219@8853","NOERROR","91.9"
"test13.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:30 UTC","16.51.167.219@8853","NOERROR","96.3"
"test14.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:31 UTC","16.51.167.219@8853","NOERROR","94.5"
"test15.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:31 UTC","16.51.167.219@8853","NOERROR","96.6"
"test16.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:31 UTC","16.51.167.219@8853","NOERROR","92.4"
"test17.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:31 UTC","16.51.167.219@8853","NOERROR","88.2"
"test18.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:31 UTC","16.51.167.219@8853","NOERROR","94.8"
"test19.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:31 UTC","16.51.167.219@8853","NOERROR","90.3"
"test20.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:31 UTC","16.51.167.219@8853","NOERROR","96.5"
"test21.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:31 UTC","16.51.167.219@8853","NOERROR","91.9"
"test22.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:31 UTC","16.51.167.219@8853","NOERROR","94.5"
"test23.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:31 UTC","16.51.167.219@8853","NOERROR","93.2"
"test24.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:32 UTC","16.51.167.219@8853","NOERROR","95.4"
"test25.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:32 UTC","16.51.167.219@8853","NOERROR","94.4"
"test26.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:32 UTC","16.51.167.219@8853","NOERROR","96.7"
"test27.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:32 UTC","16.51.167.219@8853","NOERROR","90.0"
"test28.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:32 UTC","16.51.167.219@8853","NOERROR","97.7"
"test29.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:32 UTC","16.51.167.219@8853","NOERROR","92.1"
"test30.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:32 UTC","16.51.167.219@8853","NOERROR","95.3"
"test31.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:32 UTC","16.51.167.219@8853","NOERROR","94.8"
"test32.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:32 UTC","16.51.167.219@8853","NOERROR","95.2"
"test33.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:33 UTC","16.51.167.219@8853","NOERROR","91.5"
"test34.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:33 UTC","16.51.167.219@8853","NOERROR","91.1"
"test35.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:33 UTC","16.51.167.219@8853","NOERROR","94.5"
"test36.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:33 UTC","16.51.167.219@8853","NOERROR","94.9"
"test37.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:33 UTC","16.51.167.219@8853","NOERROR","92.9"
"test38.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:33 UTC","16.51.167.219@8853","NOERROR","97.0"
"test39.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:33 UTC","16.51.167.219@8853","NOERROR","91.3"
"test40.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:33 UTC","16.51.167.219@8853","NOERROR","97.1"
"test41.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:33 UTC","16.51.167.219@8853","NOERROR","90.4"
"test42.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:33 UTC","16.51.167.219@8853","NOERROR","96.4"
"test43.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:34 UTC","16.51.167.219@8853","NOERROR","93.6"
"test44.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:34 UTC","16.51.167.219@8853","NOERROR","94.9"
"test45.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:34 UTC","16.51.167.219@8853","NOERROR","91.6"
"test46.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:34 UTC","16.51.167.219@8853","NOERROR","97.5"
"test47.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:34 UTC","16.51.167.219@8853","NOERROR","93.2"
"test48.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:34 UTC","16.51.167.219@8853","NOERROR","90.5"
"test49.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:34 UTC","16.51.167.219@8853","NOERROR","92.8"
"test50.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:34 UTC","16.51.167.219@8853","NOERROR","91.1"
"test51.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:34 UTC","16.51.167.219@8853","NOERROR","97.1"
"test52.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:35 UTC","16.51.167.219@8853","NOERROR","96.2"
"test53.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:35 UTC","16.51.167.219@8853","NOERROR","96.7"
"test54.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:35 UTC","16.51.167.219@8853","NOERROR","101.6"
"test55.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:35 UTC","16.51.167.219@8853","NOERROR","94.1"
"test56.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:35 UTC","16.51.167.219@8853","NOERROR","96.4"
"test57.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:35 UTC","16.51.167.219@8853","NOERROR","92.0"
"test58.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:35 UTC","16.51.167.219@8853","NOERROR","89.0"
"test59.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:35 UTC","16.51.167.219@8853","NOERROR","93.5"
"test60.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:35 UTC","16.51.167.219@8853","NOERROR","93.6"
"test61.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:35 UTC","16.51.167.219@8853","NOERROR","93.5"
"test62.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:36 UTC","16.51.167.219@8853","NOERROR","97.3"
"test63.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 06:46:36 UTC","16.51.167.219@8853","NOERROR","91.2"
