"Domain","Timestamp","Resolver","Status","Query Time"
"test.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:40 UTC","16.51.167.219@53","NOERROR","100.6"
"test0.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:40 UTC","16.51.167.219@53","NOERROR","53.6"
"test1.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:40 UTC","16.51.167.219@53","NOERROR","53.7"
"test2.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:40 UTC","16.51.167.219@53","NOERROR","50.4"
"test3.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","52.1"
"test4.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","53.7"
"test5.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","49.3"
"test6.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","50.6"
"test7.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","49.7"
"test8.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","55.4"
"test9.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","49.7"
"test10.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","51.5"
"test11.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","51.8"
"test12.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","51.9"
"test13.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","49.0"
"test14.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","54.0"
"test15.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","52.7"
"test16.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","52.8"
"test17.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","49.0"
"test18.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:41 UTC","16.51.167.219@53","NOERROR","49.0"
"test19.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","49.5"
"test20.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","48.9"
"test21.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","54.8"
"test22.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","48.5"
"test23.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","52.3"
"test24.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","52.7"
"test25.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","50.3"
"test26.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","51.6"
"test27.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","49.5"
"test28.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","52.3"
"test29.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","48.5"
"test30.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","52.0"
"test31.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","48.5"
"test32.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","51.6"
"test33.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","49.3"
"test34.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","52.0"
"test35.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:42 UTC","16.51.167.219@53","NOERROR","51.8"
"test36.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","54.0"
"test37.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","55.1"
"test38.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","49.2"
"test39.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","50.0"
"test40.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","49.5"
"test41.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","50.0"
"test42.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","49.4"
"test43.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","48.6"
"test44.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","50.2"
"test45.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","49.5"
"test46.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","50.9"
"test47.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","49.8"
"test48.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","53.7"
"test49.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","47.8"
"test50.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","53.1"
"test51.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:43 UTC","16.51.167.219@53","NOERROR","50.4"
"test52.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:44 UTC","16.51.167.219@53","NOERROR","50.6"
"test53.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:44 UTC","16.51.167.219@53","NOERROR","49.1"
"test54.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:03:44 UTC","16.51.167.219@53","NOERROR","50.3"
