"Domain","Timestamp","Resolver","Status","Query Time"
"test.FALCON512-SYDNEY0608.test","2026-08-07 07:06:58 UTC","16.51.167.219@53","NOERROR","110.4"
"test0.FALCON512-SYDNEY0608.test","2026-08-07 07:06:58 UTC","16.51.167.219@53","NOERROR","57.1"
"test1.FALCON512-SYDNEY0608.test","2026-08-07 07:06:58 UTC","16.51.167.219@53","NOERROR","53.0"
"test2.FALCON512-SYDNEY0608.test","2026-08-07 07:06:58 UTC","16.51.167.219@53","NOERROR","55.0"
"test3.FALCON512-SYDNEY0608.test","2026-08-07 07:06:58 UTC","16.51.167.219@53","NOERROR","53.1"
"test4.FALCON512-SYDNEY0608.test","2026-08-07 07:06:58 UTC","16.51.167.219@53","NOERROR","52.1"
"test5.FALCON512-SYDNEY0608.test","2026-08-07 07:06:58 UTC","16.51.167.219@53","NOERROR","54.8"
"test6.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","54.0"
"test7.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","55.6"
"test8.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","53.2"
"test9.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","57.7"
"test10.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","52.4"
"test11.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","54.7"
"test12.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","52.4"
"test13.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","53.8"
"test14.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","51.6"
"test15.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","54.2"
"test16.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","53.0"
"test17.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","55.3"
"test18.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","53.7"
"test19.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","55.3"
"test20.FALCON512-SYDNEY0608.test","2026-08-07 07:06:59 UTC","16.51.167.219@53","NOERROR","52.7"
"test21.FALCON512-SYDNEY0608.test","2026-08-07 07:07:00 UTC","16.51.167.219@53","NOERROR","58.9"
"test22.FALCON512-SYDNEY0608.test","2026-08-07 07:07:00 UTC","16.51.167.219@53","NOERROR","55.7"
"test23.FALCON512-SYDNEY0608.test","2026-08-07 07:07:00 UTC","16.51.167.219@53","NOERROR","49.5"
"test24.FALCON512-SYDNEY0608.test","2026-08-07 07:07:00 UTC","16.51.167.219@53","NOERROR","56.4"
"test25.FALCON512-SYDNEY0608.test","2026-08-07 07:07:00 UTC","16.51.167.219@53","NOERROR","51.8"
"test26.FALCON512-SYDNEY0608.test","2026-08-07 07:07:00 UTC","16.51.167.219@53","NOERROR","53.0"
"test27.FALCON512-SYDNEY0608.test","2026-08-07 07:07:00 UTC","16.51.167.219@53","NOERROR","51.1"
"test28.FALCON512-SYDNEY0608.test","2026-08-07 07:07:00 UTC","16.51.167.219@53","NOERROR","54.1"
"test29.FALCON512-SYDNEY0608.test","2026-08-07 07:07:00 UTC","16.51.167.219@53","NOERROR","52.6"
"test30.FALCON512-SYDNEY0608.test","2026-08-07 07:07:00 UTC","16.51.167.219@53","NOERROR","54.5"
