"Domain","Timestamp","Resolver","Status","Query Time"
"test.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:58 UTC","16.51.167.219@53","NOERROR","101.6"
"test0.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:58 UTC","16.51.167.219@53","NOERROR","52.8"
"test1.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:58 UTC","16.51.167.219@53","NOERROR","50.8"
"test2.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:58 UTC","16.51.167.219@53","NOERROR","51.0"
"test3.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:58 UTC","16.51.167.219@53","NOERROR","56.0"
"test4.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:58 UTC","16.51.167.219@53","NOERROR","53.4"
"test5.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:58 UTC","16.51.167.219@53","NOERROR","52.9"
"test6.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:58 UTC","16.51.167.219@53","NOERROR","50.2"
"test7.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","53.1"
"test8.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","52.5"
"test9.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","51.9"
"test10.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","52.6"
"test11.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","53.6"
"test12.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","51.8"
"test13.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","55.4"
"test14.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","51.3"
"test15.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","52.1"
"test16.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","53.1"
"test17.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","53.3"
"test18.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","53.1"
"test19.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","51.4"
"test20.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","49.3"
"test21.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","50.6"
"test22.MLDSA44-SYDNEY0608.test","2026-08-07 07:13:59 UTC","16.51.167.219@53","NOERROR","57.1"
