"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:33 UTC","16.51.167.219@53","NOERROR","101.5"
"test0.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:33 UTC","16.51.167.219@53","NOERROR","52.0"
"test1.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:33 UTC","16.51.167.219@53","NOERROR","52.1"
"test2.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","54.7"
"test3.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","53.1"
"test4.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","55.0"
"test5.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","55.2"
"test6.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","56.6"
"test7.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","51.3"
"test8.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","55.8"
"test9.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","53.4"
"test10.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","54.7"
"test11.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","56.7"
"test12.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","56.5"
"test13.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","52.1"
"test14.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","50.3"
"test15.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","51.0"
"test16.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","54.0"
"test17.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:34 UTC","16.51.167.219@53","NOERROR","51.8"
"test18.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","53.7"
"test19.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","54.7"
"test20.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","55.2"
"test21.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","52.0"
"test22.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","53.1"
"test23.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","53.9"
"test24.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","56.0"
"test25.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","53.5"
"test26.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","51.3"
"test27.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","57.5"
"test28.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","52.0"
"test29.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","56.2"
"test30.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","52.5"
"test31.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","54.6"
"test32.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:35 UTC","16.51.167.219@53","NOERROR","54.6"
"test33.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","53.4"
"test34.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","52.4"
"test35.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","54.0"
"test36.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","57.9"
"test37.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","52.9"
"test38.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","57.0"
"test39.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","51.3"
"test40.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","54.9"
"test41.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","53.1"
"test42.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","57.8"
"test43.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","52.1"
"test44.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","55.9"
"test45.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:08:36 UTC","16.51.167.219@53","NOERROR","53.8"
