"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:13 UTC","16.51.167.219@53","NOERROR","105.2"
"test0.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:13 UTC","16.51.167.219@53","NOERROR","57.9"
"test1.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:13 UTC","16.51.167.219@53","NOERROR","53.0"
"test2.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:13 UTC","16.51.167.219@53","NOERROR","51.2"
"test3.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:13 UTC","16.51.167.219@53","NOERROR","55.2"
"test4.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:13 UTC","16.51.167.219@53","NOERROR","56.7"
"test5.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:13 UTC","16.51.167.219@53","NOERROR","57.3"
"test6.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:13 UTC","16.51.167.219@53","NOERROR","56.2"
"test7.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:13 UTC","16.51.167.219@53","NOERROR","53.1"
"test8.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:13 UTC","16.51.167.219@53","NOERROR","51.2"
"test9.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:14 UTC","16.51.167.219@53","NOERROR","55.6"
"test10.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:14 UTC","16.51.167.219@53","NOERROR","54.9"
"test11.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:14 UTC","16.51.167.219@53","NOERROR","56.7"
"test12.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:14 UTC","16.51.167.219@53","NOERROR","51.2"
"test13.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:14 UTC","16.51.167.219@53","NOERROR","54.1"
"test14.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:14 UTC","16.51.167.219@53","NOERROR","51.6"
"test15.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:10:14 UTC","16.51.167.219@53","NOERROR","53.4"
