"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:43 UTC","16.51.167.219@53","NOERROR","121.2"
"test0.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","63.9"
"test1.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","68.6"
"test2.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","64.7"
"test3.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","67.4"
"test4.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","66.5"
"test5.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","73.1"
"test6.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","65.1"
"test7.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","66.0"
"test8.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","64.5"
"test9.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","69.5"
"test10.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","63.3"
"test11.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:44 UTC","16.51.167.219@53","NOERROR","68.2"
"test12.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","65.7"
"test13.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","64.9"
"test14.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","63.6"
"test15.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","63.5"
"test16.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","64.5"
"test17.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","69.2"
"test18.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","62.6"
"test19.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","72.6"
"test20.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","72.5"
"test21.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","62.6"
"test22.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","71.1"
"test23.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:45 UTC","16.51.167.219@53","NOERROR","69.0"
"test24.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","65.0"
"test25.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","69.6"
"test26.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","71.2"
"test27.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","66.9"
"test28.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","66.8"
"test29.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","64.0"
"test30.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","65.9"
"test31.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","64.3"
"test32.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","62.4"
"test33.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","65.3"
"test34.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","64.1"
"test35.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","68.9"
"test36.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:46 UTC","16.51.167.219@53","NOERROR","65.5"
"test37.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","66.3"
"test38.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","68.2"
"test39.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","66.6"
"test40.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","68.2"
"test41.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","70.7"
"test42.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","73.3"
"test43.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","69.5"
"test44.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","62.7"
"test45.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","68.3"
"test46.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","69.9"
"test47.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","68.6"
"test48.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","65.5"
"test49.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:47 UTC","16.51.167.219@53","NOERROR","62.4"
"test50.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","67.2"
"test51.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","66.7"
"test52.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","68.7"
"test53.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","69.8"
"test54.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","67.4"
"test55.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","68.6"
"test56.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","67.6"
"test57.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","73.5"
"test58.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","67.9"
"test59.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","65.5"
"test60.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","62.5"
"test61.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:48 UTC","16.51.167.219@53","NOERROR","64.4"
"test62.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","72.2"
"test63.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","67.4"
"test64.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","67.2"
"test65.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","71.3"
"test66.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","65.9"
"test67.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","68.4"
"test68.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","66.5"
"test69.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","64.6"
"test70.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","64.5"
"test71.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","67.2"
"test72.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","63.7"
"test73.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","68.7"
"test74.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:49 UTC","16.51.167.219@53","NOERROR","68.3"
"test75.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","69.5"
"test76.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","67.7"
"test77.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","63.7"
"test78.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","68.4"
"test79.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","64.3"
"test80.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","68.8"
"test81.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","72.1"
"test82.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","67.7"
"test83.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","68.9"
"test84.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","71.2"
"test85.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","65.4"
"test86.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:50 UTC","16.51.167.219@53","NOERROR","70.2"
"test87.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:51 UTC","16.51.167.219@53","NOERROR","73.7"
"test88.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:51 UTC","16.51.167.219@53","NOERROR","72.0"
"test89.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:51 UTC","16.51.167.219@53","NOERROR","66.6"
"test90.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:51 UTC","16.51.167.219@53","NOERROR","67.4"
"test91.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:51 UTC","16.51.167.219@53","NOERROR","66.0"
"test92.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:51 UTC","16.51.167.219@53","NOERROR","64.4"
"test93.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:51 UTC","16.51.167.219@53","NOERROR","65.3"
"test94.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:51 UTC","16.51.167.219@53","NOERROR","65.5"
"test95.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:17:51 UTC","16.51.167.219@53","NOERROR","67.5"
