"Domain","Timestamp","Resolver","Status","Query Time"
"test.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:26 UTC","16.51.167.219@53","NOERROR","109.5"
"test0.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:26 UTC","16.51.167.219@53","NOERROR","49.2"
"test1.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:26 UTC","16.51.167.219@53","NOERROR","48.2"
"test2.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:26 UTC","16.51.167.219@53","NOERROR","54.0"
"test3.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:26 UTC","16.51.167.219@53","NOERROR","49.5"
"test4.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:26 UTC","16.51.167.219@53","NOERROR","48.1"
"test5.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:26 UTC","16.51.167.219@53","NOERROR","52.9"
"test6.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:26 UTC","16.51.167.219@53","NOERROR","52.5"
"test7.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:26 UTC","16.51.167.219@53","NOERROR","49.1"
"test8.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:26 UTC","16.51.167.219@53","NOERROR","49.8"
"test9.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:26 UTC","16.51.167.219@53","NOERROR","50.2"
"test10.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","53.5"
"test11.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","47.3"
"test12.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","52.6"
"test13.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","53.4"
"test14.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","51.2"
"test15.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","53.9"
"test16.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","52.9"
"test17.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","49.6"
"test18.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","49.4"
"test19.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","50.9"
"test20.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","54.6"
"test21.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","49.6"
"test22.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","51.4"
"test23.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","49.0"
"test24.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","51.7"
"test25.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","49.5"
"test26.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:27 UTC","16.51.167.219@53","NOERROR","52.2"
"test27.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","52.4"
"test28.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","54.4"
"test29.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","51.3"
"test30.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","50.7"
"test31.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","48.8"
"test32.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","48.6"
"test33.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","49.5"
"test34.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","48.7"
"test35.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","48.8"
"test36.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","48.4"
"test37.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","49.7"
"test38.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","49.2"
"test39.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","53.0"
"test40.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","52.6"
"test41.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","53.4"
"test42.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:28 UTC","16.51.167.219@53","NOERROR","49.0"
"test43.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","49.1"
"test44.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","49.7"
"test45.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","49.4"
"test46.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","52.0"
"test47.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","48.9"
"test48.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","50.0"
"test49.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","56.0"
"test50.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","51.8"
"test51.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","50.1"
"test52.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","48.8"
"test53.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","51.1"
"test54.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","49.4"
"test55.RSASHA256-SYDNEY0608.test","2026-08-07 07:05:29 UTC","16.51.167.219@53","NOERROR","52.0"
