"Domain","Timestamp","Resolver","Status","Query Time"
"test.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:53 UTC","16.51.167.219@53","NOERROR","117.5"
"test0.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:53 UTC","16.51.167.219@53","NOERROR","70.0"
"test1.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:53 UTC","16.51.167.219@53","NOERROR","65.9"
"test2.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:53 UTC","16.51.167.219@53","NOERROR","68.0"
"test3.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:53 UTC","16.51.167.219@53","NOERROR","66.5"
"test4.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:53 UTC","16.51.167.219@53","NOERROR","65.6"
"test5.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","65.2"
"test6.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","65.4"
"test7.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","68.9"
"test8.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","68.4"
"test9.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","66.2"
"test10.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","64.1"
"test11.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","73.7"
"test12.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","71.6"
"test13.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","65.0"
"test14.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","71.7"
"test15.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","69.8"
"test16.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","67.7"
"test17.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:54 UTC","16.51.167.219@53","NOERROR","64.0"
"test18.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:55 UTC","16.51.167.219@53","NOERROR","64.2"
"test19.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:15:55 UTC","16.51.167.219@53","NOERROR","64.2"
