Domain,Timestamp,Resolver,Status,Query Time
test.FALCON512-SYDNEY0608.test,2026-08-07 00:45:01 UTC,16.51.167.219@53,NOERROR,81.9
test0.FALCON512-SYDNEY0608.test,2026-08-07 00:45:01 UTC,16.51.167.219@53,NOERROR,53.7
test1.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,55.4
test2.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,53.1
test3.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,52.8
test4.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,51.5
test5.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,52.5
test6.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,54.2
test7.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,53.5
test8.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,55.1
test9.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,52.1
test10.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,55
test11.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,51.5
test12.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,50.7
test13.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,53.7
test14.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,54.8
test15.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,54.7
test16.FALCON512-SYDNEY0608.test,2026-08-07 00:45:02 UTC,16.51.167.219@53,NOERROR,53.2
test17.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,55.6
test18.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,53.1
test19.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,55.2
test20.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,56
test21.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,53.2
test22.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,57.9
test23.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,53
test24.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,51.2
test25.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,56.5
test26.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,51.9
test27.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,52.5
test28.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,52.3
test29.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,54.3
test30.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,55.2
test31.FALCON512-SYDNEY0608.test,2026-08-07 00:45:03 UTC,16.51.167.219@53,NOERROR,55
test32.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,54.3
test33.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,52.9
test34.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,53.7
test35.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,51.9
test36.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,54.7
test37.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,51.7
test38.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,54.1
test39.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,53.2
test40.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,51.3
test41.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,55.3
test42.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,55.9
test43.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,52
test44.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,50.9
test45.FALCON512-SYDNEY0608.test,2026-08-07 00:45:04 UTC,16.51.167.219@53,NOERROR,52.9
