Linux 7.0.0-1008-aws (ip-172-31-31-224) 	08/07/26 	_x86_64_	(2 CPU)

00:44:51        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:44:52        all     51.76      0.00      4.52      0.00      0.50     43.22
00:44:53        all     50.25      0.00      3.52      0.00      0.00     46.23
00:44:54        all     50.50      0.00      3.00      0.00      0.00     46.50
00:44:55        all     48.74      0.00      4.52      0.00      0.00     46.73
00:44:56        all     52.02      0.00      3.54      0.00      0.00     44.44
00:44:57        all     47.50      0.00      3.50      0.00      0.00     49.00
00:44:58        all     50.75      0.00      3.02      0.00      0.00     46.23
00:44:59        all     27.78      0.00      6.06      0.00      0.00     66.16
00:45:00        all      0.50      0.00      1.00      0.00      0.00     98.51
00:45:01        all      0.00      0.00      0.00      0.00      0.00    100.00
00:45:02        all      0.50      0.00      0.50      0.00      0.00     98.99
00:45:03        all      1.01      0.00      0.51      0.00      0.00     98.48
00:45:04        all      0.00      0.00      0.00      0.00      0.00    100.00
00:45:05        all      1.01      0.00      0.00      0.00      0.00     98.99
00:45:06        all      0.50      0.00      1.01      0.00      0.00     98.49
00:45:07        all      0.51      0.00      0.51      0.00      0.00     98.99
00:45:08        all      1.01      0.00      0.00      0.00      0.00     98.99
00:45:09        all      0.51      0.00      1.01      0.00      0.00     98.48
00:45:10        all      0.51      0.00      0.00      0.00      0.00     99.49
00:45:11        all      0.50      0.00      1.01      0.00      0.00     98.49
00:45:12        all      1.01      0.00      0.50      0.00      0.00     98.49
00:45:13        all      0.51      0.00      0.51      0.00      0.00     98.99
00:45:14        all      0.00      0.00      1.01      0.00      0.00     98.99
00:45:15        all      1.01      0.00      0.50      0.00      0.00     98.49
00:45:16        all      0.51      0.00      0.51      0.00      0.00     98.99
00:45:17        all      1.01      0.00      0.51      0.51      0.00     97.98
00:45:18        all      0.51      0.00      0.51      0.00      0.00     98.99
00:45:19        all      1.01      0.00      0.50      0.00      0.00     98.49
00:45:20        all      1.00      0.00      1.00      0.00      0.00     98.00
00:45:21        all      0.51      0.00      0.00      0.00      0.00     99.49
00:45:22        all      0.50      0.00      1.49      0.00      0.50     97.51
00:45:23        all      1.00      0.00      1.00      0.00      0.00     98.00
00:45:24        all      0.51      0.00      0.00      0.00      0.00     99.49
00:45:25        all      0.00      0.00      0.51      0.00      0.00     99.49
00:45:26        all      1.00      0.00      1.00      0.00      0.00     98.01
00:45:27        all      0.50      0.00      0.50      0.00      0.50     98.49
00:45:28        all      1.01      0.00      0.50      0.00      0.00     98.49
00:45:29        all      0.51      0.00      0.51      0.00      0.00     98.99
00:45:30        all      0.51      0.00      0.51      0.00      0.00     98.98
00:45:31        all      1.00      0.00      1.00      0.00      0.00     98.00
00:45:32        all      1.01      0.00      0.50      0.00      0.00     98.49
00:45:33        all      0.50      0.00      0.50      0.00      0.00     98.99
00:45:34        all      1.01      0.00      0.00      0.00      0.00     98.99
00:45:35        all      1.01      0.00      1.01      0.00      0.00     97.99
00:45:36        all      0.00      0.00      0.00      0.00      0.00    100.00
00:45:37        all      1.01      0.00      0.50      0.00      0.00     98.49
00:45:38        all      1.01      0.00      0.00      0.00      0.00     98.99
00:45:39        all      0.50      0.00      1.01      0.00      0.00     98.49
00:45:40        all      1.01      0.00      0.50      0.00      0.00     98.49
00:45:41        all      1.00      0.00      1.50      0.00      0.00     97.50
00:45:42        all      1.02      0.00      0.51      0.00      0.00     98.48
00:45:43        all      1.02      0.00      0.00      0.00      0.00     98.98
00:45:44        all      0.51      0.00      0.51      0.00      0.00     98.99
00:45:45        all      1.00      0.00      1.00      0.00      0.00     98.00
00:45:46        all      0.51      0.00      0.00      0.00      0.00     99.49
00:45:47        all      1.01      0.00      1.01      0.50      0.00     97.49
00:45:48        all      0.00      0.00      1.01      0.00      0.00     98.99
00:45:49        all      1.01      0.00      0.50      0.00      0.00     98.49
00:45:50        all      0.50      0.00      1.51      0.00      0.00     97.99
00:45:51        all      1.00      0.00      0.00      0.00      1.00     98.00
00:45:52        all      1.01      0.00      0.50      0.00      0.00     98.49
00:45:53        all      0.51      0.00      0.51      0.00      0.00     98.99
00:45:54        all      0.51      0.00      1.01      0.00      0.00     98.48
00:45:55        all      1.01      0.00      0.50      0.00      0.00     98.49
00:45:56        all      0.51      0.00      0.51      0.00      0.00     98.99
00:45:57        all      1.01      0.00      1.01      0.00      0.00     97.98
00:45:58        all      1.01      0.00      0.50      0.00      0.00     98.49
00:45:59        all      0.51      0.00      0.51      0.00      0.00     98.99
00:46:00        all      0.51      0.00      0.00      0.00      0.00     99.49
00:46:01        all      1.01      0.00      0.50      0.00      0.00     98.49
00:46:02        all      0.51      0.00      0.51      0.00      0.00     98.99
00:46:03        all      1.01      0.00      0.00      0.00      0.00     98.99
00:46:04        all      1.01      0.00      0.50      0.00      0.00     98.49
00:46:05        all      0.50      0.00      1.01      0.00      0.00     98.49
00:46:06        all      0.50      0.00      0.00      0.00      0.00     99.50
00:46:07        all      0.00      0.00      0.00      0.00      0.00    100.00
00:46:08        all      0.00      0.00      0.50      0.00      0.00     99.50
00:46:09        all      0.99      0.00      0.99      0.00      0.00     98.02
00:46:10        all      0.00      0.00      0.00      0.00      0.00    100.00
00:46:11        all      0.00      0.00      0.00      0.00      0.00    100.00
00:46:12        all      0.00      0.00      0.00      0.00      0.00    100.00

Average:        all      5.28      0.00      0.87      0.01      0.03     93.80
