Linux 7.0.0-1008-aws (ip-172-31-20-134) 	08/07/26 	_x86_64_	(2 CPU)

10:44:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
10:44:56        all      2.01      0.00      1.51      0.00      0.00     96.48
10:44:57        all      0.00      0.00      0.00      0.00      0.00    100.00
10:44:58        all      0.50      0.00      0.00      0.00      0.00     99.50
10:44:59        all      5.58      0.00      1.52      0.00      0.00     92.89
10:45:00        all      0.50      0.00      0.00      0.00      0.99     98.51
10:45:01        all      0.50      0.00      0.50      0.00      0.00     99.00
10:45:02        all      5.53      0.00      1.01      0.00      1.01     92.46
10:45:03        all      6.63      0.00      1.02      0.00      0.00     92.35
10:45:04        all      6.63      0.00      0.51      0.00      0.00     92.86
10:45:05        all      6.57      0.00      1.01      0.00      0.00     92.42
10:45:06        all      6.57      0.00      0.51      0.00      0.00     92.93
10:45:07        all      6.57      0.00      1.52      0.00      0.00     91.92
10:45:08        all      6.60      0.00      0.51      0.00      0.00     92.89
10:45:09        all      5.61      0.00      1.02      0.00      0.00     93.37
10:45:10        all      7.07      0.00      0.51      0.00      0.00     92.42
10:45:11        all      6.15      0.00      1.03      0.00      0.00     92.82
10:45:12        all      6.53      0.00      1.01      0.00      0.00     92.46
10:45:13        all      6.57      0.00      0.51      0.00      0.00     92.93
10:45:14        all     12.12      0.00      2.53      0.00      0.00     85.35
10:45:15        all      6.09      0.00      1.02      0.00      0.00     92.89
10:45:16        all      6.63      0.00      0.00      0.00      0.00     93.37
10:45:17        all      6.53      0.00      1.01      0.00      0.00     92.46
10:45:18        all      6.12      0.00      1.02      0.00      0.00     92.86
10:45:19        all      6.57      0.00      0.51      0.00      0.00     92.93
10:45:20        all      6.09      0.00      1.02      0.00      0.00     92.89
10:45:21        all      7.11      0.00      0.51      0.00      0.00     92.39
10:45:22        all      6.63      0.00      0.00      0.00      0.00     93.37
10:45:23        all      6.53      0.00      1.51      0.00      0.00     91.96
10:45:24        all      6.06      0.00      1.01      0.00      0.00     92.93
10:45:25        all      6.09      0.00      1.02      0.00      0.51     92.39
10:45:26        all      7.11      0.00      0.51      0.00      0.00     92.39
10:45:27        all      6.09      0.00      0.51      0.00      0.00     93.40
10:45:28        all      6.57      0.00      0.51      0.00      0.00     92.93
10:45:29        all     12.18      0.00      2.03      0.00      0.00     85.79
10:45:30        all      5.08      0.00      1.02      0.00      0.00     93.91
10:45:31        all      7.61      0.00      0.51      0.00      0.00     91.88
10:45:32        all      6.53      0.00      1.01      1.01      0.00     91.46
10:45:33        all      6.09      0.00      1.02      0.00      0.00     92.89
10:45:34        all      6.57      0.00      0.51      0.00      0.00     92.93
10:45:35        all      6.60      0.00      1.02      0.00      0.00     92.39
10:45:36        all      6.57      0.00      0.51      0.00      0.51     92.42
10:45:37        all      6.60      0.00      0.00      0.00      0.00     93.40
10:45:38        all      5.61      0.00      1.02      0.00      0.00     93.37
10:45:39        all      6.60      0.00      0.51      0.00      0.00     92.89
10:45:40        all      6.60      0.00      0.51      0.00      0.00     92.89
10:45:41        all      6.57      0.00      1.01      0.00      0.00     92.42
10:45:42        all      6.06      0.00      1.52      0.00      0.00     92.42
10:45:43        all      6.12      0.00      0.00      0.00      0.00     93.88
10:45:44        all     11.17      0.00      2.03      0.00      0.00     86.80
10:45:45        all      7.07      0.00      1.01      0.00      0.00     91.92
10:45:46        all      6.12      0.00      0.51      0.00      0.00     93.37
10:45:47        all      7.04      0.00      0.50      0.00      0.00     92.46
10:45:48        all      6.12      0.00      1.02      0.00      0.00     92.86
10:45:49        all      6.06      0.00      1.01      0.00      0.00     92.93
10:45:50        all      6.12      0.00      0.51      0.00      0.00     93.37
10:45:51        all      6.60      0.00      1.02      0.00      0.00     92.39
10:45:52        all      6.60      0.00      1.02      0.00      0.00     92.39
10:45:53        all      5.58      0.00      1.02      0.00      0.00     93.40
10:45:54        all      6.60      0.00      0.00      0.00      0.00     93.40
10:45:55        all      6.09      0.00      1.52      0.00      0.00     92.39
10:45:56        all      6.09      0.00      1.02      0.00      0.00     92.89
10:45:57        all      6.60      0.00      0.51      0.00      0.00     92.89
10:45:58        all      6.06      0.00      1.52      0.00      0.00     92.42
10:45:59        all     12.24      0.00      2.04      0.00      0.00     85.71
10:46:00        all      6.03      0.00      0.50      0.00      1.51     91.96
10:46:01        all      6.57      0.00      1.52      0.00      0.00     91.92
10:46:02        all      7.07      0.00      0.51      0.51      0.00     91.92
10:46:03        all      6.09      0.00      1.02      0.00      0.00     92.89
10:46:04        all      6.57      0.00      1.01      0.00      0.00     92.42
10:46:05        all      4.06      0.00      0.00      0.00      0.00     95.94
10:46:06        all      0.00      0.00      0.00      0.00      0.00    100.00
10:46:07        all      0.99      0.00      0.50      0.00      0.00     98.51
10:46:08        all      0.00      0.00      0.00      0.00      0.00    100.00
10:46:09        all      0.00      0.00      0.00      0.00      0.00    100.00
10:46:10        all      0.50      0.00      0.00      0.00      0.00     99.50
10:46:11        all      0.50      0.00      0.50      0.00      0.00     99.00
10:46:12        all      0.00      0.00      0.00      0.00      0.00    100.00

Average:        all      5.71      0.00      0.78      0.02      0.06     93.43
