"Domain","Timestamp","Resolver","Status","Query Time"
"test.FALCON512-SYDNEY0608.test","2026-08-07 00:18:49 UTC","16.51.167.219@53","NOERROR","81.0"
"test0.FALCON512-SYDNEY0608.test","2026-08-07 00:18:49 UTC","16.51.167.219@53","NOERROR","53.1"
"test1.FALCON512-SYDNEY0608.test","2026-08-07 00:18:49 UTC","16.51.167.219@53","NOERROR","53.4"
"test2.FALCON512-SYDNEY0608.test","2026-08-07 00:18:49 UTC","16.51.167.219@53","NOERROR","55.3"
"test3.FALCON512-SYDNEY0608.test","2026-08-07 00:18:49 UTC","16.51.167.219@53","NOERROR","53.0"
"test4.FALCON512-SYDNEY0608.test","2026-08-07 00:18:49 UTC","16.51.167.219@53","NOERROR","58.4"
"test5.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","51.3"
"test6.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","51.7"
"test7.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","50.7"
"test8.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","52.7"
"test9.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","53.5"
"test10.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","51.6"
"test11.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","53.2"
"test12.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","52.9"
"test13.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","52.3"
"test14.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","57.2"
"test15.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","55.6"
"test16.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","55.0"
"test17.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","54.6"
"test18.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","55.7"
"test19.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","54.3"
"test20.FALCON512-SYDNEY0608.test","2026-08-07 00:18:50 UTC","16.51.167.219@53","NOERROR","52.5"
"test21.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","51.5"
"test22.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","53.5"
"test23.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","52.5"
"test24.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","54.0"
"test25.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","52.4"
"test26.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","54.8"
"test27.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","51.9"
"test28.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","53.0"
"test29.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","51.3"
"test30.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","52.8"
"test31.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","55.1"
"test32.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","54.1"
"test33.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","53.5"
"test34.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","51.8"
"test35.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","52.8"
"test36.FALCON512-SYDNEY0608.test","2026-08-07 00:18:51 UTC","16.51.167.219@53","NOERROR","52.7"
"test37.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","51.9"
"test38.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","51.3"
"test39.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","52.7"
"test40.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","52.2"
"test41.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","51.0"
"test42.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","52.1"
"test43.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","50.7"
"test44.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","56.1"
"test45.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","53.1"
"test46.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","51.7"
"test47.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","54.7"
"test48.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","54.4"
"test49.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","53.9"
"test50.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","52.6"
"test51.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","51.5"
"test52.FALCON512-SYDNEY0608.test","2026-08-07 00:18:52 UTC","16.51.167.219@53","NOERROR","56.3"
"test53.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","54.8"
"test54.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","57.2"
"test55.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","52.1"
"test56.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","55.0"
"test57.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","55.1"
"test58.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","56.2"
"test59.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","54.6"
"test60.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","52.4"
"test61.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","51.8"
"test62.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","54.1"
"test63.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","53.4"
"test64.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","51.3"
"test65.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","52.9"
"test66.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","54.0"
"test67.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","55.8"
"test68.FALCON512-SYDNEY0608.test","2026-08-07 00:18:53 UTC","16.51.167.219@53","NOERROR","56.3"
"test69.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","52.0"
"test70.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","52.6"
"test71.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","52.5"
"test72.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","54.5"
"test73.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","54.0"
"test74.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","51.5"
"test75.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","51.6"
"test76.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","52.9"
"test77.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","52.3"
"test78.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","55.3"
"test79.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","56.6"
"test80.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","52.0"
"test81.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","51.7"
"test82.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","56.4"
"test83.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","55.4"
"test84.FALCON512-SYDNEY0608.test","2026-08-07 00:18:54 UTC","16.51.167.219@53","NOERROR","57.1"
"test85.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","51.8"
"test86.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","56.1"
"test87.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","52.7"
"test88.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","54.5"
"test89.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","52.4"
"test90.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","52.1"
"test91.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","52.5"
"test92.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","51.9"
"test93.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","54.1"
"test94.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","52.3"
"test95.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","51.9"
"test96.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","55.8"
"test97.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","54.7"
"test98.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","50.3"
"test99.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","51.9"
"test100.FALCON512-SYDNEY0608.test","2026-08-07 00:18:55 UTC","16.51.167.219@53","NOERROR","52.1"
"test101.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","57.7"
"test102.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","52.8"
"test103.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","52.6"
"test104.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","52.1"
"test105.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","54.3"
"test106.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","54.0"
"test107.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","52.8"
"test108.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","55.2"
"test109.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","52.2"
"test110.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","53.2"
"test111.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","53.5"
"test112.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","51.3"
"test113.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","51.0"
"test114.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","52.9"
"test115.FALCON512-SYDNEY0608.test","2026-08-07 00:18:56 UTC","16.51.167.219@53","NOERROR","56.4"
