"Domain","Timestamp","Resolver","Status","Query Time"
"test.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","78.5"
"test0.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","54.1"
"test1.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","52.4"
"test2.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","50.3"
"test3.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","55.2"
"test4.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","51.1"
"test5.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","54.9"
"test6.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","55.2"
"test7.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","52.3"
"test8.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","53.1"
"test9.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","54.5"
"test10.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","52.8"
"test11.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","53.0"
"test12.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","53.4"
"test13.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","52.4"
"test14.FALCON512-SYDNEY0608.test","2026-08-07 05:06:48 UTC","16.51.167.219@53","NOERROR","54.2"
"test15.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","55.8"
"test16.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","54.2"
"test17.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","52.2"
"test18.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","50.5"
"test19.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","51.0"
"test20.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","53.3"
"test21.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","51.4"
"test22.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","52.7"
"test23.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","54.8"
"test24.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","53.8"
"test25.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","55.0"
"test26.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","52.0"
"test27.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","52.0"
"test28.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","56.0"
"test29.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","52.0"
"test30.FALCON512-SYDNEY0608.test","2026-08-07 05:06:49 UTC","16.51.167.219@53","NOERROR","59.1"
"test31.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","52.1"
"test32.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","55.1"
"test33.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","54.7"
"test34.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","53.9"
"test35.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","54.8"
"test36.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","52.8"
"test37.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","53.4"
"test38.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","52.4"
"test39.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","57.1"
"test40.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","51.5"
"test41.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","52.8"
"test42.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","57.2"
"test43.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","54.0"
"test44.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","56.5"
"test45.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","53.9"
"test46.FALCON512-SYDNEY0608.test","2026-08-07 05:06:50 UTC","16.51.167.219@53","NOERROR","52.5"
"test47.FALCON512-SYDNEY0608.test","2026-08-07 05:06:51 UTC","16.51.167.219@53","NOERROR","51.8"
"test48.FALCON512-SYDNEY0608.test","2026-08-07 05:06:51 UTC","16.51.167.219@53","NOERROR","53.5"
"test49.FALCON512-SYDNEY0608.test","2026-08-07 05:06:51 UTC","16.51.167.219@53","NOERROR","52.4"
"test50.FALCON512-SYDNEY0608.test","2026-08-07 05:06:51 UTC","16.51.167.219@53","NOERROR","53.7"
"test51.FALCON512-SYDNEY0608.test","2026-08-07 05:06:51 UTC","16.51.167.219@53","NOERROR","55.5"
"test52.FALCON512-SYDNEY0608.test","2026-08-07 05:06:51 UTC","16.51.167.219@53","NOERROR","52.5"
"test53.FALCON512-SYDNEY0608.test","2026-08-07 05:06:51 UTC","16.51.167.219@53","NOERROR","52.1"
"test54.FALCON512-SYDNEY0608.test","2026-08-07 05:06:51 UTC","16.51.167.219@53","NOERROR","52.5"
"test55.FALCON512-SYDNEY0608.test","2026-08-07 05:06:51 UTC","16.51.167.219@53","NOERROR","51.7"
