"Domain","Timestamp","Resolver","Status","Query Time"
"test.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:44 UTC","16.51.167.219@53","NOERROR","29.5"
"test0.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:44 UTC","16.51.167.219@53","NOERROR","66.1"
"test1.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:44 UTC","16.51.167.219@53","NOERROR","62.9"
"test2.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:44 UTC","16.51.167.219@53","NOERROR","65.3"
"test3.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:45 UTC","16.51.167.219@53","NOERROR","66.5"
"test4.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:45 UTC","16.51.167.219@53","NOERROR","69.0"
"test5.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:45 UTC","16.51.167.219@53","NOERROR","65.6"
"test6.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:45 UTC","16.51.167.219@53","NOERROR","65.3"
"test7.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:45 UTC","16.51.167.219@53","NOERROR","65.9"
"test8.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:45 UTC","16.51.167.219@53","NOERROR","64.6"
"test9.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:45 UTC","16.51.167.219@53","NOERROR","63.7"
"test10.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:45 UTC","16.51.167.219@53","NOERROR","62.3"
"test11.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:46 UTC","16.51.167.219@53","NOERROR","63.9"
"test12.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:46 UTC","16.51.167.219@53","NOERROR","63.5"
"test13.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:46 UTC","16.51.167.219@53","NOERROR","63.6"
"test14.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:46 UTC","16.51.167.219@53","NOERROR","64.5"
"test15.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:46 UTC","16.51.167.219@53","NOERROR","66.4"
"test16.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:46 UTC","16.51.167.219@53","NOERROR","63.3"
"test17.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:46 UTC","16.51.167.219@53","NOERROR","64.2"
"test18.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:46 UTC","16.51.167.219@53","NOERROR","66.6"
"test19.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:47 UTC","16.51.167.219@53","NOERROR","63.6"
"test20.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:47 UTC","16.51.167.219@53","NOERROR","64.8"
"test21.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:47 UTC","16.51.167.219@53","NOERROR","62.4"
"test22.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:47 UTC","16.51.167.219@53","NOERROR","66.5"
"test23.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:47 UTC","16.51.167.219@53","NOERROR","70.3"
"test24.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:47 UTC","16.51.167.219@53","NOERROR","66.6"
"test25.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:47 UTC","16.51.167.219@53","NOERROR","68.6"
"test26.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:47 UTC","16.51.167.219@53","NOERROR","66.8"
"test27.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:48 UTC","16.51.167.219@53","NOERROR","65.5"
"test28.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:48 UTC","16.51.167.219@53","NOERROR","61.7"
"test29.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:48 UTC","16.51.167.219@53","NOERROR","65.8"
"test30.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:48 UTC","16.51.167.219@53","NOERROR","64.6"
"test31.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:48 UTC","16.51.167.219@53","NOERROR","62.2"
"test32.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:48 UTC","16.51.167.219@53","NOERROR","65.7"
"test33.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:48 UTC","16.51.167.219@53","NOERROR","66.3"
"test34.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:48 UTC","16.51.167.219@53","NOERROR","63.8"
"test35.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:49 UTC","16.51.167.219@53","NOERROR","61.1"
"test36.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:49 UTC","16.51.167.219@53","NOERROR","62.6"
"test37.MLDSA44-SYDNEY0608.test","2026-08-07 04:59:49 UTC","16.51.167.219@53","NOERROR","64.6"
