"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:35 UTC","16.51.167.219@53","NOERROR","80.8"
"test0.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","57.1"
"test1.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","55.3"
"test2.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","56.5"
"test3.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","51.3"
"test4.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","56.0"
"test5.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","52.7"
"test6.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","52.6"
"test7.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","55.3"
"test8.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","52.3"
"test9.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","56.6"
"test10.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","51.8"
"test11.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","56.2"
"test12.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","53.5"
"test13.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","53.0"
"test14.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","54.9"
"test15.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:36 UTC","16.51.167.219@53","NOERROR","53.0"
"test16.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","54.5"
"test17.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","53.4"
"test18.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","52.5"
"test19.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","52.8"
"test20.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","54.9"
"test21.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","53.9"
"test22.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","57.7"
"test23.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","52.1"
"test24.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","57.6"
"test25.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","54.3"
"test26.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","56.1"
"test27.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","52.6"
"test28.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","54.2"
"test29.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","52.7"
"test30.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","54.9"
"test31.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:37 UTC","16.51.167.219@53","NOERROR","52.4"
"test32.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:38 UTC","16.51.167.219@53","NOERROR","51.9"
"test33.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:38 UTC","16.51.167.219@53","NOERROR","54.4"
"test34.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:38 UTC","16.51.167.219@53","NOERROR","52.7"
"test35.P256-FALCON512-SYDNEY0608.test","2026-08-07 05:08:38 UTC","16.51.167.219@53","NOERROR","53.5"
