"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:04 UTC","16.51.167.219@53","NOERROR","29.6"
"test0.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:04 UTC","16.51.167.219@53","NOERROR","66.2"
"test1.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:04 UTC","16.51.167.219@53","NOERROR","64.5"
"test2.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:04 UTC","16.51.167.219@53","NOERROR","65.9"
"test3.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:04 UTC","16.51.167.219@53","NOERROR","68.0"
"test4.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:04 UTC","16.51.167.219@53","NOERROR","69.0"
"test5.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:04 UTC","16.51.167.219@53","NOERROR","67.8"
"test6.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:05 UTC","16.51.167.219@53","NOERROR","65.2"
"test7.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:05 UTC","16.51.167.219@53","NOERROR","70.3"
"test8.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:05 UTC","16.51.167.219@53","NOERROR","66.6"
"test9.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:05 UTC","16.51.167.219@53","NOERROR","65.5"
"test10.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:05 UTC","16.51.167.219@53","NOERROR","66.7"
"test11.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:05 UTC","16.51.167.219@53","NOERROR","64.2"
"test12.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:05 UTC","16.51.167.219@53","NOERROR","65.5"
"test13.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:05 UTC","16.51.167.219@53","NOERROR","63.5"
"test14.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:06 UTC","16.51.167.219@53","NOERROR","65.9"
"test15.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:06 UTC","16.51.167.219@53","NOERROR","65.6"
"test16.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:06 UTC","16.51.167.219@53","NOERROR","67.0"
"test17.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:06 UTC","16.51.167.219@53","NOERROR","67.7"
"test18.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:06 UTC","16.51.167.219@53","NOERROR","64.8"
"test19.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:06 UTC","16.51.167.219@53","NOERROR","66.7"
"test20.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:06 UTC","16.51.167.219@53","NOERROR","65.0"
"test21.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:06 UTC","16.51.167.219@53","NOERROR","66.1"
"test22.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:07 UTC","16.51.167.219@53","NOERROR","68.0"
"test23.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:07 UTC","16.51.167.219@53","NOERROR","65.0"
"test24.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:07 UTC","16.51.167.219@53","NOERROR","63.6"
"test25.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:07 UTC","16.51.167.219@53","NOERROR","65.5"
"test26.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:07 UTC","16.51.167.219@53","NOERROR","66.6"
"test27.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:07 UTC","16.51.167.219@53","NOERROR","63.9"
"test28.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:07 UTC","16.51.167.219@53","NOERROR","64.0"
"test29.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:08 UTC","16.51.167.219@53","NOERROR","66.5"
"test30.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:08 UTC","16.51.167.219@53","NOERROR","63.9"
"test31.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:08 UTC","16.51.167.219@53","NOERROR","66.7"
"test32.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:08 UTC","16.51.167.219@53","NOERROR","65.4"
"test33.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:08 UTC","16.51.167.219@53","NOERROR","64.9"
"test34.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:08 UTC","16.51.167.219@53","NOERROR","65.0"
"test35.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:08 UTC","16.51.167.219@53","NOERROR","63.8"
"test36.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:08 UTC","16.51.167.219@53","NOERROR","65.3"
"test37.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:09 UTC","16.51.167.219@53","NOERROR","67.3"
"test38.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:09 UTC","16.51.167.219@53","NOERROR","66.2"
"test39.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:09 UTC","16.51.167.219@53","NOERROR","64.4"
"test40.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:09 UTC","16.51.167.219@53","NOERROR","65.0"
"test41.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:09 UTC","16.51.167.219@53","NOERROR","66.0"
"test42.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:09 UTC","16.51.167.219@53","NOERROR","65.7"
"test43.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:09 UTC","16.51.167.219@53","NOERROR","70.3"
"test44.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:09 UTC","16.51.167.219@53","NOERROR","65.1"
"test45.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:10 UTC","16.51.167.219@53","NOERROR","65.1"
"test46.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:10 UTC","16.51.167.219@53","NOERROR","68.0"
"test47.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:10 UTC","16.51.167.219@53","NOERROR","64.9"
"test48.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:10 UTC","16.51.167.219@53","NOERROR","67.3"
"test49.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:10 UTC","16.51.167.219@53","NOERROR","67.0"
"test50.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:10 UTC","16.51.167.219@53","NOERROR","71.0"
"test51.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:10 UTC","16.51.167.219@53","NOERROR","65.9"
"test52.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:11 UTC","16.51.167.219@53","NOERROR","65.1"
"test53.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:11 UTC","16.51.167.219@53","NOERROR","67.1"
"test54.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:11 UTC","16.51.167.219@53","NOERROR","69.7"
"test55.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:11 UTC","16.51.167.219@53","NOERROR","76.0"
"test56.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:11 UTC","16.51.167.219@53","NOERROR","65.9"
"test57.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:11 UTC","16.51.167.219@53","NOERROR","66.8"
"test58.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:11 UTC","16.51.167.219@53","NOERROR","66.0"
"test59.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:11 UTC","16.51.167.219@53","NOERROR","66.2"
"test60.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:12 UTC","16.51.167.219@53","NOERROR","68.2"
"test61.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:12 UTC","16.51.167.219@53","NOERROR","64.9"
"test62.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:12 UTC","16.51.167.219@53","NOERROR","66.0"
"test63.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:12 UTC","16.51.167.219@53","NOERROR","66.1"
"test64.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:12 UTC","16.51.167.219@53","NOERROR","69.2"
"test65.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:12 UTC","16.51.167.219@53","NOERROR","66.9"
"test66.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:12 UTC","16.51.167.219@53","NOERROR","67.1"
"test67.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:13 UTC","16.51.167.219@53","NOERROR","67.5"
"test68.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:13 UTC","16.51.167.219@53","NOERROR","64.3"
"test69.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:13 UTC","16.51.167.219@53","NOERROR","65.7"
"test70.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:13 UTC","16.51.167.219@53","NOERROR","66.7"
"test71.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:13 UTC","16.51.167.219@53","NOERROR","67.8"
"test72.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:13 UTC","16.51.167.219@53","NOERROR","70.7"
"test73.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:13 UTC","16.51.167.219@53","NOERROR","68.7"
"test74.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:13 UTC","16.51.167.219@53","NOERROR","70.6"
"test75.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:14 UTC","16.51.167.219@53","NOERROR","67.7"
"test76.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:14 UTC","16.51.167.219@53","NOERROR","65.9"
"test77.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:14 UTC","16.51.167.219@53","NOERROR","68.3"
"test78.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:14 UTC","16.51.167.219@53","NOERROR","64.0"
"test79.P256-MLDSA44-SYDNEY0608.test","2026-08-07 04:56:14 UTC","16.51.167.219@53","NOERROR","67.7"
