"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:55 UTC","16.51.167.219@53","NOERROR","30.2"
"test0.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:55 UTC","16.51.167.219@53","NOERROR","76.6"
"test1.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:56 UTC","16.51.167.219@53","NOERROR","79.7"
"test2.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:56 UTC","16.51.167.219@53","NOERROR","74.7"
"test3.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:56 UTC","16.51.167.219@53","NOERROR","79.6"
"test4.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:56 UTC","16.51.167.219@53","NOERROR","80.9"
"test5.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:56 UTC","16.51.167.219@53","NOERROR","82.6"
"test6.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:56 UTC","16.51.167.219@53","NOERROR","80.3"
"test7.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:56 UTC","16.51.167.219@53","NOERROR","78.1"
"test8.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:57 UTC","16.51.167.219@53","NOERROR","81.9"
"test9.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:57 UTC","16.51.167.219@53","NOERROR","77.5"
"test10.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:57 UTC","16.51.167.219@53","NOERROR","78.8"
"test11.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:57 UTC","16.51.167.219@53","NOERROR","80.6"
"test12.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:57 UTC","16.51.167.219@53","NOERROR","83.1"
"test13.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:57 UTC","16.51.167.219@53","NOERROR","77.3"
"test14.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:58 UTC","16.51.167.219@53","NOERROR","81.9"
"test15.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:58 UTC","16.51.167.219@53","NOERROR","81.6"
"test16.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:58 UTC","16.51.167.219@53","NOERROR","78.8"
"test17.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:58 UTC","16.51.167.219@53","NOERROR","79.8"
"test18.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:58 UTC","16.51.167.219@53","NOERROR","82.6"
"test19.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:58 UTC","16.51.167.219@53","NOERROR","79.3"
"test20.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:59 UTC","16.51.167.219@53","NOERROR","80.8"
"test21.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:59 UTC","16.51.167.219@53","NOERROR","81.2"
"test22.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:59 UTC","16.51.167.219@53","NOERROR","81.5"
"test23.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:59 UTC","16.51.167.219@53","NOERROR","77.3"
"test24.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:59 UTC","16.51.167.219@53","NOERROR","80.7"
"test25.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:59 UTC","16.51.167.219@53","NOERROR","76.1"
"test26.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:51:59 UTC","16.51.167.219@53","NOERROR","93.2"
"test27.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:00 UTC","16.51.167.219@53","NOERROR","78.6"
"test28.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:00 UTC","16.51.167.219@53","NOERROR","81.5"
"test29.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:00 UTC","16.51.167.219@53","NOERROR","79.2"
"test30.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:00 UTC","16.51.167.219@53","NOERROR","76.9"
"test31.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:00 UTC","16.51.167.219@53","NOERROR","76.6"
"test32.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:00 UTC","16.51.167.219@53","NOERROR","83.5"
"test33.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:01 UTC","16.51.167.219@53","NOERROR","78.6"
"test34.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:01 UTC","16.51.167.219@53","NOERROR","85.3"
"test35.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:01 UTC","16.51.167.219@53","NOERROR","93.2"
"test36.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:01 UTC","16.51.167.219@53","NOERROR","84.8"
"test37.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:01 UTC","16.51.167.219@53","NOERROR","78.3"
"test38.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:02 UTC","16.51.167.219@53","NOERROR","80.1"
"test39.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:02 UTC","16.51.167.219@53","NOERROR","85.0"
"test40.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:52:02 UTC","16.51.167.219@53","NOERROR","75.0"
