"Domain","Timestamp","Resolver","Status","Query Time"
"test.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","77.2"
"test0.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","26.3"
"test1.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","26.4"
"test2.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","25.0"
"test3.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","25.2"
"test4.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","24.7"
"test5.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","27.4"
"test6.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","26.4"
"test7.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","26.4"
"test8.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","28.2"
"test9.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","25.4"
"test10.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","26.9"
"test11.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","25.4"
"test12.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","25.2"
"test13.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","28.4"
"test14.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","25.3"
"test15.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","27.3"
"test16.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","27.1"
"test17.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","27.5"
"test18.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","24.8"
"test19.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","28.0"
"test20.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","25.3"
"test21.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","26.6"
"test22.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","27.5"
"test23.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","24.9"
"test24.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:23 UTC","16.51.167.219@53","NOERROR","25.9"
"test25.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","27.6"
"test26.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","25.2"
"test27.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","26.9"
"test28.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","28.1"
"test29.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","25.3"
"test30.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","24.5"
"test31.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","26.9"
"test32.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","25.7"
"test33.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","28.0"
"test34.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","27.0"
"test35.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","25.5"
"test36.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","26.1"
"test37.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","25.1"
"test38.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","28.3"
"test39.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","27.1"
"test40.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","28.2"
"test41.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","26.1"
"test42.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","26.4"
"test43.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","26.9"
"test44.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","24.6"
"test45.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","26.9"
"test46.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","24.2"
"test47.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","25.8"
"test48.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","26.4"
"test49.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","25.6"
"test50.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","28.1"
"test51.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","25.0"
"test52.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:24 UTC","16.51.167.219@53","NOERROR","26.6"
"test53.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","25.0"
"test54.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","26.5"
"test55.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","25.3"
"test56.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","26.9"
"test57.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","28.6"
"test58.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","24.7"
"test59.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","25.6"
"test60.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","25.5"
"test61.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","24.9"
"test62.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","25.3"
"test63.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","25.0"
"test64.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","25.0"
"test65.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","27.1"
"test66.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","26.2"
"test67.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","27.8"
"test68.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","26.9"
"test69.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","24.8"
"test70.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","26.6"
"test71.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","26.3"
"test72.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","25.6"
"test73.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","27.8"
"test74.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","24.7"
"test75.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","26.6"
"test76.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","26.7"
"test77.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","27.3"
"test78.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","25.9"
"test79.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","26.8"
"test80.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:25 UTC","16.51.167.219@53","NOERROR","26.6"
"test81.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:26 UTC","16.51.167.219@53","NOERROR","26.5"
"test82.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:26 UTC","16.51.167.219@53","NOERROR","26.9"
"test83.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:26 UTC","16.51.167.219@53","NOERROR","25.2"
"test84.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:26 UTC","16.51.167.219@53","NOERROR","26.2"
"test85.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:26 UTC","16.51.167.219@53","NOERROR","25.3"
"test86.RSASHA256-SYDNEY0608.test","2026-08-07 05:37:26 UTC","16.51.167.219@53","NOERROR","27.0"
