"Domain","Timestamp","Resolver","Status","Query Time"
"test.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:17:59 UTC","16.51.167.219@53","NOERROR","98.3"
"test0.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:17:59 UTC","16.51.167.219@53","NOERROR","86.8"
"test1.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","66.4"
"test2.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","66.5"
"test3.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","71.1"
"test4.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","65.0"
"test5.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","65.8"
"test6.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","68.3"
"test7.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","65.3"
"test8.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","69.5"
"test9.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","66.9"
"test10.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","67.0"
"test11.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","66.6"
"test12.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:00 UTC","16.51.167.219@53","NOERROR","66.5"
"test13.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:01 UTC","16.51.167.219@53","NOERROR","68.1"
"test14.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:01 UTC","16.51.167.219@53","NOERROR","67.5"
"test15.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:01 UTC","16.51.167.219@53","NOERROR","67.7"
"test16.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:01 UTC","16.51.167.219@53","NOERROR","70.7"
"test17.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:01 UTC","16.51.167.219@53","NOERROR","65.6"
"test18.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:01 UTC","16.51.167.219@53","NOERROR","67.3"
"test19.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:01 UTC","16.51.167.219@53","NOERROR","70.0"
"test20.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:01 UTC","16.51.167.219@53","NOERROR","66.5"
"test21.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:01 UTC","16.51.167.219@53","NOERROR","63.3"
"test22.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:02 UTC","16.51.167.219@53","NOERROR","67.4"
"test23.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:02 UTC","16.51.167.219@53","NOERROR","70.4"
"test24.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:02 UTC","16.51.167.219@53","NOERROR","73.1"
"test25.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:02 UTC","16.51.167.219@53","NOERROR","67.8"
"test26.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:02 UTC","16.51.167.219@53","NOERROR","66.4"
"test27.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:02 UTC","16.51.167.219@53","NOERROR","68.8"
"test28.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 02:18:02 UTC","16.51.167.219@53","NOERROR","70.0"
