"Domain","Timestamp","Resolver","Status","Query Time"
"test.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:10 UTC","16.51.167.219@53","NOERROR","31.1"
"test0.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:10 UTC","16.51.167.219@53","NOERROR","78.1"
"test1.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:10 UTC","16.51.167.219@53","NOERROR","84.0"
"test2.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:10 UTC","16.51.167.219@53","NOERROR","81.5"
"test3.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:10 UTC","16.51.167.219@53","NOERROR","79.5"
"test4.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:11 UTC","16.51.167.219@53","NOERROR","84.6"
"test5.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:11 UTC","16.51.167.219@53","NOERROR","79.7"
"test6.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:11 UTC","16.51.167.219@53","NOERROR","80.3"
"test7.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:11 UTC","16.51.167.219@53","NOERROR","86.4"
"test8.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:11 UTC","16.51.167.219@53","NOERROR","76.3"
"test9.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:11 UTC","16.51.167.219@53","NOERROR","79.9"
"test10.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:12 UTC","16.51.167.219@53","NOERROR","79.4"
"test11.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:12 UTC","16.51.167.219@53","NOERROR","81.0"
"test12.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:12 UTC","16.51.167.219@53","NOERROR","81.2"
"test13.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:12 UTC","16.51.167.219@53","NOERROR","76.4"
"test14.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:12 UTC","16.51.167.219@53","NOERROR","78.0"
"test15.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:12 UTC","16.51.167.219@53","NOERROR","80.8"
"test16.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:13 UTC","16.51.167.219@53","NOERROR","80.0"
"test17.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:13 UTC","16.51.167.219@53","NOERROR","75.3"
"test18.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:13 UTC","16.51.167.219@53","NOERROR","76.8"
"test19.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:13 UTC","16.51.167.219@53","NOERROR","82.1"
"test20.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:13 UTC","16.51.167.219@53","NOERROR","81.3"
"test21.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:13 UTC","16.51.167.219@53","NOERROR","82.8"
"test22.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 04:48:14 UTC","16.51.167.219@53","NOERROR","81.3"
