"Domain","Timestamp","Resolver","Status","Query Time"
"test.FALCON512-SYDNEY0608.test","2026-08-07 01:27:13 UTC","16.51.167.219@853","NOERROR","116.1"
"test0.FALCON512-SYDNEY0608.test","2026-08-07 01:27:13 UTC","16.51.167.219@853","NOERROR","42.8"
"test1.FALCON512-SYDNEY0608.test","2026-08-07 01:27:13 UTC","16.51.167.219@853","NOERROR","42.8"
"test2.FALCON512-SYDNEY0608.test","2026-08-07 01:27:13 UTC","16.51.167.219@853","NOERROR","44.6"
"test3.FALCON512-SYDNEY0608.test","2026-08-07 01:27:13 UTC","16.51.167.219@853","NOERROR","45.6"
"test4.FALCON512-SYDNEY0608.test","2026-08-07 01:27:13 UTC","16.51.167.219@853","NOERROR","46.2"
"test5.FALCON512-SYDNEY0608.test","2026-08-07 01:27:13 UTC","16.51.167.219@853","NOERROR","41.0"
"test6.FALCON512-SYDNEY0608.test","2026-08-07 01:27:13 UTC","16.51.167.219@853","NOERROR","41.9"
"test7.FALCON512-SYDNEY0608.test","2026-08-07 01:27:13 UTC","16.51.167.219@853","NOERROR","42.7"
"test8.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","40.8"
"test9.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","41.1"
"test10.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","40.8"
"test11.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","43.4"
"test12.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","43.9"
"test13.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","41.9"
"test14.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","43.2"
"test15.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","42.0"
"test16.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","44.4"
"test17.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","44.8"
"test18.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","46.2"
"test19.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","40.1"
"test20.FALCON512-SYDNEY0608.test","2026-08-07 01:27:14 UTC","16.51.167.219@853","NOERROR","43.4"
