Linux 7.0.0-1008-aws (ip-172-31-31-224) 	08/07/26 	_x86_64_	(2 CPU)

01:27:02        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:03        all     50.76      0.00      4.57      0.00      1.02     43.65
01:27:04        all     49.75      0.00      4.48      0.00      1.00     44.78
01:27:05        all     50.00      0.00      3.03      0.00      0.51     46.46
01:27:06        all     49.25      0.00      3.48      0.00      0.50     46.77
01:27:07        all     48.99      0.00      4.04      0.00      0.00     46.97
01:27:08        all     51.78      0.00      2.03      0.00      0.00     46.19
01:27:09        all     50.50      0.00      4.00      0.00      0.00     45.50
01:27:10        all     35.00      0.00      4.50      0.00      1.00     59.50
01:27:11        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:12        all      0.00      0.00      0.50      0.00      0.00     99.50
01:27:13        all      1.00      0.00      1.00      0.00      0.00     98.00
01:27:14        all      1.53      0.00      0.51      0.00      0.00     97.96
01:27:15        all      2.01      0.00      1.01      0.00      0.50     96.48
01:27:16        all      6.60      0.00      0.51      0.00      0.00     92.89
01:27:17        all      2.53      0.00      1.01      0.00      0.51     95.96
01:27:18        all      2.01      0.00      1.01      0.00      0.50     96.48
01:27:19        all      2.01      0.00      1.51      0.00      0.00     96.48
01:27:20        all      2.02      0.00      1.52      0.00      0.00     96.46
01:27:21        all      2.01      0.00      0.50      0.00      0.50     96.98
01:27:22        all      2.51      0.00      1.01      0.00      0.00     96.48
01:27:23        all      1.01      0.00      1.01      0.00      0.50     97.49
01:27:24        all      2.03      0.00      0.51      0.00      0.00     97.46
01:27:25        all      2.00      0.00      2.00      0.00      0.00     96.00
01:27:26        all      1.52      0.00      0.51      0.00      0.00     97.97
01:27:27        all      1.52      0.00      0.51      0.00      0.00     97.97
01:27:28        all      2.53      0.00      0.51      0.00      0.00     96.97
01:27:29        all      1.52      0.00      1.52      0.00      0.00     96.97
01:27:30        all      2.00      0.00      1.00      0.00      0.00     97.00
01:27:31        all      2.02      0.00      1.01      0.00      0.00     96.97
01:27:32        all      1.53      0.00      0.51      0.00      0.00     97.96
01:27:33        all      1.49      0.00      1.49      0.00      0.50     96.52
01:27:34        all      2.53      0.00      0.51      0.00      0.00     96.97
01:27:35        all      1.51      0.00      1.51      0.00      0.50     96.48
01:27:36        all      2.49      0.00      1.00      0.00      1.49     95.02
01:27:37        all      2.03      0.00      0.00      0.00      0.00     97.97
01:27:38        all      1.52      0.00      1.02      0.00      0.00     97.46
01:27:39        all      2.01      0.00      1.01      0.00      0.50     96.48
01:27:40        all      1.49      0.00      1.99      0.00      0.50     96.02
01:27:41        all      2.04      0.00      0.00      0.00      0.00     97.96
01:27:42        all      2.00      0.00      1.50      0.00      0.00     96.50
01:27:43        all      1.52      0.00      1.02      0.00      0.00     97.46
01:27:44        all      2.01      0.00      1.01      0.00      0.00     96.98
01:27:45        all      2.03      0.00      0.51      0.00      0.00     97.46
01:27:46        all      2.00      0.00      1.50      0.00      0.00     96.50
01:27:47        all      2.50      0.00      2.00      0.50      0.00     95.00
01:27:48        all      2.51      0.00      0.50      0.00      0.50     96.48
01:27:49        all      1.52      0.00      0.51      0.00      0.51     97.47
01:27:50        all      2.51      0.00      1.01      0.00      0.00     96.48
01:27:51        all      1.53      0.00      0.51      0.00      0.00     97.96
01:27:52        all      2.02      0.00      1.01      0.00      0.00     96.97
01:27:53        all      1.52      0.00      0.51      0.00      0.51     97.47
01:27:54        all      2.01      0.00      1.51      0.00      0.00     96.48
01:27:55        all      2.00      0.00      1.00      0.00      0.50     96.50
01:27:56        all      2.03      0.00      0.51      0.00      0.00     97.46
01:27:57        all      2.03      0.00      0.51      0.00      0.00     97.46
01:27:58        all      2.00      0.00      1.00      0.00      0.00     97.00
01:27:59        all      1.52      0.00      1.02      0.00      0.00     97.46
01:28:00        all      2.02      0.00      0.51      0.00      0.51     96.97
01:28:01        all      1.00      0.00      1.49      0.00      1.49     96.02
01:28:02        all      2.00      0.00      1.00      0.00      0.50     96.50
01:28:03        all      2.02      0.00      1.01      0.00      0.00     96.97
01:28:04        all      2.51      0.00      0.50      0.00      1.01     95.98
01:28:05        all      1.51      0.00      2.01      0.00      0.50     95.98
01:28:06        all      0.51      0.00      0.00      0.00      0.00     99.49
01:28:07        all      0.50      0.00      0.50      0.00      0.50     98.51
01:28:08        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:09        all      0.00      0.00      0.50      0.00      0.00     99.50
01:28:10        all      0.50      0.00      0.00      0.00      0.00     99.50


Average:        all      7.26      0.00      1.21      0.01      0.24     91.28
