Linux 7.0.0-1008-aws (ip-172-31-20-134) 	08/07/26 	_x86_64_	(2 CPU)

11:27:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:27:06        all      2.00      0.00      1.50      0.00      0.50     96.00
11:27:07        all      0.00      0.00      0.00      0.00      0.00    100.00
11:27:08        all      0.99      0.00      0.99      0.00      0.00     98.02
11:27:09        all      0.00      0.00      0.00      0.00      0.00    100.00
11:27:10        all      0.00      0.00      0.00      0.00      0.50     99.50
11:27:11        all      0.00      0.00      0.00      0.00      0.00    100.00
11:27:12        all      1.00      0.00      0.00      0.00      0.00     99.00
11:27:13        all      6.12      0.00      1.53      0.00      0.00     92.35
11:27:14        all      4.06      0.00      1.02      0.00      0.00     94.92
11:27:15        all      3.52      0.00      1.51      0.00      0.00     94.97
11:27:16        all      3.54      0.00      2.02      0.00      0.00     94.44
11:27:17        all      4.10      0.00      0.00      0.00      0.00     95.90
11:27:18        all      3.05      0.00      1.52      0.00      0.00     95.43
11:27:19        all      4.02      0.00      1.51      0.00      0.00     94.47
11:27:20        all      3.06      0.00      1.53      0.00      0.00     95.41
11:27:21        all      4.06      0.00      1.02      0.00      0.00     94.92
11:27:22        all      3.03      0.00      2.02      0.00      0.00     94.95
11:27:23        all      3.55      0.00      1.02      0.00      0.00     95.43
11:27:24        all      4.06      0.00      1.02      0.00      0.00     94.92
11:27:25        all      3.03      0.00      1.52      0.00      0.00     95.45
11:27:26        all      4.02      0.00      2.01      0.00      0.00     93.97
11:27:27        all      3.05      0.00      1.52      0.00      0.00     95.43
11:27:28        all     11.00      0.00      3.00      0.00      0.00     86.00
11:27:29        all     52.76      0.00      2.51      0.00      0.50     44.22
11:27:30        all      6.12      0.00      1.53      0.00      0.00     92.35
11:27:31        all      3.57      0.00      1.02      0.00      0.00     95.41
11:27:32        all      4.00      0.00      2.00      0.50      0.00     93.50
11:27:33        all      4.06      0.00      1.02      0.00      0.00     94.92
11:27:34        all      3.57      0.00      1.02      0.00      0.00     95.41
11:27:35        all      3.54      0.00      1.52      0.00      0.00     94.95
11:27:36        all      3.54      0.00      2.02      0.51      0.00     93.94
11:27:37        all      4.04      0.00      1.52      0.51      0.00     93.94
11:27:38        all      3.57      0.00      0.51      0.00      0.00     95.92
11:27:39        all      4.04      0.00      1.01      0.00      0.00     94.95
11:27:40        all      3.52      0.00      1.51      0.00      0.50     94.47
11:27:41        all      4.06      0.00      1.02      0.00      0.00     94.92
11:27:42        all      3.55      0.00      1.02      0.00      0.00     95.43
11:27:43        all     11.68      0.00      2.54      0.00      0.00     85.79
11:27:44        all      8.12      0.00      2.54      0.00      0.00     89.34
11:27:45        all      3.55      0.00      1.02      0.00      0.00     95.43
11:27:46        all      5.10      0.00      1.53      0.00      0.00     93.37
11:27:47        all      3.50      0.00      2.50      0.00      0.00     94.00
11:27:48        all      3.06      0.00      1.53      0.00      0.00     95.41
11:27:49        all      3.59      0.00      0.51      0.00      0.00     95.90
11:27:50        all      3.54      0.00      1.52      0.00      0.00     94.95
11:27:51        all      4.04      0.00      2.02      0.00      0.00     93.94
11:27:52        all      4.04      0.00      1.01      0.00      0.00     94.95
11:27:53        all      3.55      0.00      1.02      0.00      0.00     95.43
11:27:54        all      3.57      0.00      1.02      0.00      0.00     95.41
11:27:55        all      3.98      0.00      1.99      0.00      0.00     94.03
11:27:56        all      3.57      0.00      1.53      0.00      0.00     94.90
11:27:57        all      3.54      0.00      1.52      0.00      0.00     94.95
11:27:58        all      8.63      0.00      2.54      0.00      0.00     88.83
11:27:59        all      4.08      0.00      0.51      0.00      0.00     95.41
11:28:00        all      3.05      0.00      0.51      0.00      1.52     94.92
11:28:01        all      2.03      0.00      1.52      0.00      0.00     96.45
11:28:02        all      3.54      0.00      1.01      0.51      0.00     94.95
11:28:03        all      3.54      0.00      1.52      0.51      0.51     93.94
11:28:04        all      3.54      0.00      1.52      0.00      0.00     94.95
11:28:05        all      4.00      0.00      2.00      0.00      0.00     94.00
11:28:06        all      1.01      0.00      0.50      0.00      0.00     98.49
11:28:07        all      0.00      0.00      0.00      0.00      0.00    100.00
11:28:08        all      0.50      0.00      0.00      0.00      0.00     99.50
11:28:09        all      0.00      0.00      1.00      0.00      0.00     99.00
11:28:10        all      0.50      0.00      0.50      0.00      0.00     99.00

Average:        all      4.28      0.00      1.27      0.04      0.06     94.36
