"Domain","Timestamp","Resolver","Status","Query Time"
"test.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:30 UTC","16.51.167.219@8853","NOERROR","159.8"
"test0.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:30 UTC","16.51.167.219@8853","NOERROR","80.7"
"test1.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:30 UTC","16.51.167.219@8853","NOERROR","76.6"
"test2.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:30 UTC","16.51.167.219@8853","NOERROR","74.0"
"test3.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:30 UTC","16.51.167.219@8853","NOERROR","77.4"
"test4.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:30 UTC","16.51.167.219@8853","NOERROR","76.1"
"test5.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:31 UTC","16.51.167.219@8853","NOERROR","78.4"
"test6.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:31 UTC","16.51.167.219@8853","NOERROR","72.7"
"test7.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:31 UTC","16.51.167.219@8853","NOERROR","79.3"
"test8.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:31 UTC","16.51.167.219@8853","NOERROR","79.6"
"test9.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:31 UTC","16.51.167.219@8853","NOERROR","72.5"
"test10.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:31 UTC","16.51.167.219@8853","NOERROR","79.4"
"test11.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:31 UTC","16.51.167.219@8853","NOERROR","78.8"
"test12.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:31 UTC","16.51.167.219@8853","NOERROR","75.2"
"test13.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:31 UTC","16.51.167.219@8853","NOERROR","79.7"
"test14.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:31 UTC","16.51.167.219@8853","NOERROR","80.7"
"test15.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:31 UTC","16.51.167.219@8853","NOERROR","79.3"
"test16.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","72.4"
"test17.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","76.7"
"test18.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","80.4"
"test19.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","80.0"
"test20.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","76.8"
"test21.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","80.3"
"test22.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","76.9"
"test23.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","79.3"
"test24.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","75.3"
"test25.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","80.2"
"test26.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","75.9"
"test27.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:32 UTC","16.51.167.219@8853","NOERROR","83.8"
"test28.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:33 UTC","16.51.167.219@8853","NOERROR","80.8"
"test29.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:33 UTC","16.51.167.219@8853","NOERROR","78.3"
"test30.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:33 UTC","16.51.167.219@8853","NOERROR","79.7"
"test31.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:33 UTC","16.51.167.219@8853","NOERROR","77.8"
"test32.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:33 UTC","16.51.167.219@8853","NOERROR","75.3"
"test33.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:33 UTC","16.51.167.219@8853","NOERROR","81.4"
"test34.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:33 UTC","16.51.167.219@8853","NOERROR","73.5"
"test35.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:33 UTC","16.51.167.219@8853","NOERROR","74.9"
"test36.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:33 UTC","16.51.167.219@8853","NOERROR","79.6"
"test37.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:33 UTC","16.51.167.219@8853","NOERROR","80.8"
"test38.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:33 UTC","16.51.167.219@8853","NOERROR","82.6"
"test39.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","72.0"
"test40.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","78.4"
"test41.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","78.0"
"test42.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","78.8"
"test43.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","72.8"
"test44.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","72.4"
"test45.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","77.7"
"test46.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","83.6"
"test47.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","80.6"
"test48.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","79.8"
"test49.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","79.5"
"test50.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:34 UTC","16.51.167.219@8853","NOERROR","75.6"
"test51.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:35 UTC","16.51.167.219@8853","NOERROR","82.0"
"test52.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:35 UTC","16.51.167.219@8853","NOERROR","75.3"
"test53.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:35 UTC","16.51.167.219@8853","NOERROR","73.6"
"test54.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:35 UTC","16.51.167.219@8853","NOERROR","81.0"
"test55.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:35 UTC","16.51.167.219@8853","NOERROR","79.8"
"test56.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:35 UTC","16.51.167.219@8853","NOERROR","85.0"
"test57.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:35 UTC","16.51.167.219@8853","NOERROR","83.8"
"test58.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:35 UTC","16.51.167.219@8853","NOERROR","78.4"
"test59.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:35 UTC","16.51.167.219@8853","NOERROR","78.4"
"test60.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:35 UTC","16.51.167.219@8853","NOERROR","75.0"
"test61.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:35 UTC","16.51.167.219@8853","NOERROR","75.4"
"test62.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:36 UTC","16.51.167.219@8853","NOERROR","78.2"
"test63.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:36 UTC","16.51.167.219@8853","NOERROR","75.4"
"test64.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:36 UTC","16.51.167.219@8853","NOERROR","80.1"
"test65.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:36 UTC","16.51.167.219@8853","NOERROR","76.9"
"test66.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:36 UTC","16.51.167.219@8853","NOERROR","75.5"
"test67.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:36 UTC","16.51.167.219@8853","NOERROR","75.0"
"test68.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:36 UTC","16.51.167.219@8853","NOERROR","76.5"
"test69.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:36 UTC","16.51.167.219@8853","NOERROR","76.1"
"test70.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:36 UTC","16.51.167.219@8853","NOERROR","79.1"
"test71.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:36 UTC","16.51.167.219@8853","NOERROR","74.7"
"test72.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:36 UTC","16.51.167.219@8853","NOERROR","81.0"
"test73.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","73.4"
"test74.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","74.8"
"test75.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","80.8"
"test76.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","74.4"
"test77.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","77.3"
"test78.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","79.6"
"test79.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","78.6"
"test80.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","78.7"
"test81.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","75.8"
"test82.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","78.6"
"test83.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","80.7"
"test84.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:37 UTC","16.51.167.219@8853","NOERROR","73.4"
"test85.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:38 UTC","16.51.167.219@8853","NOERROR","76.8"
"test86.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:38 UTC","16.51.167.219@8853","NOERROR","74.5"
"test87.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:38 UTC","16.51.167.219@8853","NOERROR","75.3"
"test88.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:38 UTC","16.51.167.219@8853","NOERROR","76.9"
"test89.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:38 UTC","16.51.167.219@8853","NOERROR","81.5"
"test90.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:38 UTC","16.51.167.219@8853","NOERROR","75.7"
"test91.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:38 UTC","16.51.167.219@8853","NOERROR","84.4"
"test92.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:38 UTC","16.51.167.219@8853","NOERROR","77.2"
"test93.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:38 UTC","16.51.167.219@8853","NOERROR","76.8"
"test94.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:38 UTC","16.51.167.219@8853","NOERROR","82.6"
"test95.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:38 UTC","16.51.167.219@8853","NOERROR","79.5"
"test96.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","76.5"
"test97.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","83.9"
"test98.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","78.9"
"test99.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","80.2"
"test100.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","74.9"
"test101.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","75.3"
"test102.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","77.3"
"test103.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","78.9"
"test104.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","80.4"
"test105.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","80.6"
"test106.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","77.4"
"test107.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:39 UTC","16.51.167.219@8853","NOERROR","80.8"
"test108.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:40 UTC","16.51.167.219@8853","NOERROR","79.1"
"test109.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:40 UTC","16.51.167.219@8853","NOERROR","73.4"
"test110.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:40 UTC","16.51.167.219@8853","NOERROR","75.4"
"test111.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:40 UTC","16.51.167.219@8853","NOERROR","74.0"
"test112.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:40 UTC","16.51.167.219@8853","NOERROR","75.5"
"test113.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:40 UTC","16.51.167.219@8853","NOERROR","79.9"
"test114.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:40 UTC","16.51.167.219@8853","NOERROR","80.2"
"test115.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:40 UTC","16.51.167.219@8853","NOERROR","78.5"
"test116.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:40 UTC","16.51.167.219@8853","NOERROR","80.6"
"test117.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:40 UTC","16.51.167.219@8853","NOERROR","74.7"
"test118.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:40 UTC","16.51.167.219@8853","NOERROR","80.1"
"test119.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:41 UTC","16.51.167.219@8853","NOERROR","83.7"
"test120.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:41 UTC","16.51.167.219@8853","NOERROR","82.9"
"test121.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:41 UTC","16.51.167.219@8853","NOERROR","81.9"
"test122.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:41 UTC","16.51.167.219@8853","NOERROR","80.4"
"test123.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:41 UTC","16.51.167.219@8853","NOERROR","82.4"
"test124.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:41 UTC","16.51.167.219@8853","NOERROR","77.1"
"test125.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:41 UTC","16.51.167.219@8853","NOERROR","78.9"
"test126.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:41 UTC","16.51.167.219@8853","NOERROR","83.6"
"test127.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:41 UTC","16.51.167.219@8853","NOERROR","80.5"
"test128.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:41 UTC","16.51.167.219@8853","NOERROR","75.9"
"test129.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:41 UTC","16.51.167.219@8853","NOERROR","73.9"
"test130.slhdsasha2128s-sydney0608.test.","2026-08-07 08:01:42 UTC","16.51.167.219@8853","NOERROR","78.0"
