"Domain","Timestamp","Resolver","Status","Query Time"
"test.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:49 UTC","16.51.167.219@53","NOERROR","101.9"
"test0.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:49 UTC","16.51.167.219@53","NOERROR","49.6"
"test1.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:49 UTC","16.51.167.219@53","NOERROR","49.8"
"test2.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:49 UTC","16.51.167.219@53","NOERROR","54.2"
"test3.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:49 UTC","16.51.167.219@53","NOERROR","48.0"
"test4.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:49 UTC","16.51.167.219@53","NOERROR","51.9"
"test5.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:49 UTC","16.51.167.219@53","NOERROR","51.1"
"test6.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:49 UTC","16.51.167.219@53","NOERROR","51.6"
"test7.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:49 UTC","16.51.167.219@53","NOERROR","51.9"
"test8.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:49 UTC","16.51.167.219@53","NOERROR","55.3"
"test9.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:49 UTC","16.51.167.219@53","NOERROR","47.9"
"test10.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:50 UTC","16.51.167.219@53","NOERROR","48.0"
"test11.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:50 UTC","16.51.167.219@53","NOERROR","49.6"
"test12.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:50 UTC","16.51.167.219@53","NOERROR","51.3"
"test13.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:50 UTC","16.51.167.219@53","NOERROR","51.3"
"test14.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:50 UTC","16.51.167.219@53","NOERROR","48.1"
"test15.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:50 UTC","16.51.167.219@53","NOERROR","47.3"
"test16.slhdsasha2128s-sydney0608.test.","2026-08-07 07:56:50 UTC","16.51.167.219@53","NOERROR","47.7"
