"Domain","Timestamp","Resolver","Status","Query Time"
"test.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","103.6"
"test0.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","27.1"
"test1.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","27.5"
"test2.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","27.1"
"test3.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","26.5"
"test4.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","26.7"
"test5.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","26.5"
"test6.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","28.2"
"test7.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","26.6"
"test8.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","30.4"
"test9.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","27.6"
"test10.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","27.1"
"test11.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","26.8"
"test12.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","28.2"
"test13.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","26.9"
"test14.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:30 UTC","16.51.167.219@53","NOERROR","27.0"
"test15.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","27.1"
"test16.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","26.9"
"test17.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","28.2"
"test18.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","29.4"
"test19.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","28.4"
"test20.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","26.9"
"test21.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","26.8"
"test22.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","26.3"
"test23.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","28.9"
"test24.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","28.7"
"test25.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","29.0"
"test26.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","26.6"
"test27.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","28.1"
"test28.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","28.3"
"test29.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","26.7"
"test30.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","27.6"
"test31.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","28.5"
"test32.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","27.5"
"test33.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","28.4"
"test34.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","26.6"
"test35.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","28.6"
"test36.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","27.2"
"test37.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","27.3"
"test38.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","28.4"
"test39.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","29.6"
"test40.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:31 UTC","16.51.167.219@53","NOERROR","26.7"
"test41.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:32 UTC","16.51.167.219@53","NOERROR","28.3"
"test42.slhdsasha2128s-sydney0608.test.","2026-08-07 07:54:32 UTC","16.51.167.219@53","NOERROR","27.4"
