Domain,Timestamp,Resolver,Status,Query Time
test.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,50.6
test0.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,25.9
test1.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,27.1
test2.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,27
test3.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,26.4
test4.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,26.2
test5.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,26
test6.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,25.9
test7.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,25.4
test8.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,24.6
test9.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,25.9
test10.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,25.7
test11.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,24.7
test12.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,24.8
test13.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,25.8
test14.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,28.2
test15.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,25.7
test16.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,24.7
test17.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,24.6
test18.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,25.2
test19.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,24.3
test20.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,24.8
test21.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,27.5
test22.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,25.8
test23.FALCON512-SYDNEY0608.test,2026-08-07 01:28:51 UTC,16.51.167.219@53,NOERROR,25.2
test24.FALCON512-SYDNEY0608.test,2026-08-07 01:28:52 UTC,16.51.167.219@53,NOERROR,27.2
test25.FALCON512-SYDNEY0608.test,2026-08-07 01:28:52 UTC,16.51.167.219@53,NOERROR,25.6
