Linux 7.0.0-1008-aws (ip-172-31-31-224) 	08/07/26 	_x86_64_	(2 CPU)

01:28:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:28:42        all     50.74      0.00      5.91      0.00      0.99     42.36
01:28:43        all     51.27      0.00      3.05      0.00      0.00     45.69
01:28:44        all     48.48      0.00      8.59      0.00      2.02     40.91
01:28:45        all     45.96      0.00      4.04      0.00      3.03     46.97
01:28:46        all     47.76      0.00      3.98      0.00      1.99     46.27
01:28:47        all     49.25      0.00      2.99      0.50      2.49     44.78
01:28:48        all     50.00      0.00      4.04      0.00      0.00     45.96
01:28:49        all     49.75      0.00      5.03      0.00      0.00     45.23
01:28:50        all      4.04      0.00      0.00      0.00      0.00     95.96
01:28:51        all      0.50      0.00      0.00      0.00      0.00     99.50
01:28:52        all      0.51      0.00      0.51      0.00      0.00     98.99
01:28:53        all      0.99      0.00      0.99      0.00      0.99     97.04
01:28:54        all      0.51      0.00      0.00      0.00      0.51     98.99
01:28:55        all      1.01      0.00      0.00      0.00      0.00     98.99
01:28:56        all      0.50      0.00      1.00      0.00      0.50     98.00
01:28:57        all      0.50      0.00      1.00      0.00      0.00     98.50
01:28:58        all      0.51      0.00      0.51      0.00      0.00     98.99
01:28:59        all      0.50      0.00      1.00      0.00      0.50     98.00
01:29:00        all      1.00      0.00      0.50      0.00      1.00     97.51
01:29:01        all      0.00      0.00      0.51      0.00      1.01     98.48
01:29:02        all      0.98      0.00      0.00      0.00      3.90     95.12
01:29:03        all      0.50      0.00      1.00      0.00      1.00     97.51
01:29:04        all      0.51      0.00      0.00      0.00      0.51     98.98
01:29:05        all      0.99      0.00      0.99      0.00      0.99     97.04
01:29:06        all      0.51      0.00      0.00      0.00      0.00     99.49
01:29:07        all      1.00      0.00      1.00      0.00      1.00     97.01
01:29:08        all      0.99      0.00      0.99      0.00      0.50     97.52
01:29:09        all      1.00      0.00      0.50      0.00      0.50     98.00
01:29:10        all      0.00      0.00      0.00      0.00      0.00    100.00
01:29:11        all      1.00      0.00      0.50      0.00      0.50     98.00
01:29:12        all      1.01      0.00      0.50      0.00      0.50     97.99
01:29:13        all      0.51      0.00      0.00      0.00      0.00     99.49
01:29:14        all      0.50      0.00      0.50      0.00      0.00     98.99
01:29:15        all      0.50      0.00      1.00      0.00      0.50     98.00
01:29:16        all      1.00      0.00      0.50      0.00      0.50     98.01
01:29:17        all      1.99      0.00      1.00      0.50      1.00     95.52
01:29:18        all      0.51      0.00      0.00      0.00      0.00     99.49
01:29:19        all      0.00      0.00      1.01      0.00      0.00     98.99
01:29:20        all      1.01      0.00      0.00      0.00      0.50     98.49
01:29:21        all      0.50      0.00      1.00      0.00      0.00     98.50
01:29:22        all      0.51      0.00      0.00      0.00      0.51     98.99
01:29:23        all      1.00      0.00      1.00      0.00      0.00     98.01
01:29:24        all      0.51      0.00      0.00      0.00      0.00     99.49
01:29:25        all      0.51      0.00      0.00      0.00      0.00     99.49
01:29:26        all      0.50      0.00      1.00      0.00      0.00     98.51
01:29:27        all      0.50      0.00      0.50      0.00      0.00     99.00
01:29:28        all      0.00      0.00      0.00      0.00      0.00    100.00


Average:        all      8.98      0.00      1.21      0.02      0.59     89.21
