Linux 7.0.0-1008-aws (ip-172-31-20-134) 	08/07/26 	_x86_64_	(2 CPU)

11:28:44        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:28:45        all      2.53      0.00      1.01      0.00      0.00     96.46
11:28:46        all      0.00      0.00      1.00      0.00      0.50     98.51
11:28:47        all      0.00      0.00      0.00      0.00      0.00    100.00
11:28:48        all      0.50      0.00      0.00      0.00      0.00     99.50
11:28:49        all      0.00      0.00      0.50      0.00      0.00     99.50
11:28:50        all      0.50      0.00      0.00      0.00      0.50     99.01
11:28:51        all      0.51      0.00      0.51      0.00      0.00     98.99
11:28:52        all      1.01      0.00      0.51      0.00      0.00     98.48
11:28:53        all      4.52      0.00      0.50      0.00      0.00     94.97
11:28:54        all      1.50      0.00      0.50      0.00      0.00     98.00
11:28:55        all      1.50      0.00      1.00      0.00      0.00     97.50
11:28:56        all      1.01      0.00      1.01      0.00      0.00     97.99
11:28:57        all      0.51      0.00      0.51      0.00      0.00     98.98
11:28:58        all      0.50      0.00      1.01      0.00      0.00     98.49
11:28:59        all      5.56      0.00      1.52      0.00      0.00     92.93
11:29:00        all      1.01      0.00      0.50      0.00      0.50     97.99
11:29:01        all      1.49      0.00      1.00      0.00      0.00     97.51
11:29:02        all      1.02      0.00      0.51      1.02      0.00     97.46
11:29:03        all      1.02      0.00      0.51      0.00      0.00     98.48
11:29:04        all      0.50      0.00      1.51      0.00      0.00     97.99
11:29:05        all      1.01      0.00      0.50      0.00      0.00     98.49
11:29:06        all      0.51      0.00      0.51      0.00      0.00     98.99
11:29:07        all      0.51      0.00      1.01      0.00      0.00     98.48
11:29:08        all      0.51      0.00      1.01      0.00      0.00     98.48
11:29:09        all      1.01      0.00      0.50      0.00      0.00     98.49
11:29:10        all      1.00      0.00      1.00      0.00      0.00     98.00
11:29:11        all      1.02      0.00      0.00      0.00      0.00     98.98
11:29:12        all      1.00      0.00      1.00      0.00      0.00     98.00
11:29:13        all      1.00      0.00      0.50      0.00      0.50     98.00
11:29:14        all      6.06      0.00      2.02      0.00      0.00     91.92
11:29:15        all      1.01      0.00      0.50      0.00      0.00     98.49
11:29:16        all      0.51      0.00      0.51      0.51      0.00     98.48
11:29:17        all      0.51      0.00      0.51      0.00      0.00     98.99
11:29:18        all      1.02      0.00      0.51      0.00      0.00     98.48
11:29:19        all      1.50      0.00      0.50      0.00      0.00     98.00
11:29:20        all      1.00      0.00      1.00      0.00      0.00     98.00
11:29:21        all      0.51      0.00      0.51      0.00      0.00     98.99
11:29:22        all      1.52      0.00      0.51      0.00      0.00     97.98
11:29:23        all      0.00      0.00      1.01      0.00      0.00     98.99
11:29:24        all      1.01      0.00      0.00      0.00      0.00     98.99
11:29:25        all      0.00      0.00      0.51      0.00      0.00     99.49
11:29:26        all      1.50      0.00      0.50      0.00      0.00     98.00
11:29:27        all      0.50      0.00      0.50      0.00      0.00     99.00
11:29:28        all      0.00      0.00      0.00      0.00      0.00    100.00

Average:        all      1.12      0.00      0.65      0.03      0.05     98.15
