"Domain","Timestamp","Resolver","Status","Query Time"
"test.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:53 UTC","16.51.167.219@53","NOERROR","53.9"
"test0.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:53 UTC","16.51.167.219@53","NOERROR","25.1"
"test1.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:53 UTC","16.51.167.219@53","NOERROR","27.1"
"test2.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:53 UTC","16.51.167.219@53","NOERROR","25.5"
"test3.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:53 UTC","16.51.167.219@53","NOERROR","24.5"
"test4.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:53 UTC","16.51.167.219@53","NOERROR","24.1"
"test5.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:53 UTC","16.51.167.219@53","NOERROR","26.5"
"test6.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:53 UTC","16.51.167.219@53","NOERROR","25.5"
"test7.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:53 UTC","16.51.167.219@53","NOERROR","26.0"
"test8.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:53 UTC","16.51.167.219@53","NOERROR","26.0"
"test9.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:54 UTC","16.51.167.219@53","NOERROR","26.3"
"test10.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:54 UTC","16.51.167.219@53","NOERROR","25.0"
"test11.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:54 UTC","16.51.167.219@53","NOERROR","27.7"
"test12.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:54 UTC","16.51.167.219@53","NOERROR","27.5"
"test13.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:54 UTC","16.51.167.219@53","NOERROR","26.3"
"test14.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:54 UTC","16.51.167.219@53","NOERROR","25.8"
"test15.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:54 UTC","16.51.167.219@53","NOERROR","26.0"
"test16.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:54 UTC","16.51.167.219@53","NOERROR","26.3"
"test17.slhdsasha2128s-sydney0608.test.","2026-08-07 07:58:54 UTC","16.51.167.219@53","NOERROR","24.0"
