Linux 7.0.0-1008-aws (ip-172-31-31-224) 	08/07/26 	_x86_64_	(2 CPU)

00:58:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:58:20        all     52.53      0.00      3.54      0.00      0.00     43.94
00:58:21        all     50.00      0.00      4.00      0.00      0.00     46.00
00:58:22        all     51.01      0.00      2.53      0.00      0.00     46.46
00:58:23        all     47.50      0.00      5.00      0.00      0.00     47.50
00:58:24        all     51.76      0.00      4.02      0.00      0.00     44.22
00:58:25        all     51.50      0.00      3.50      0.00      0.00     45.00
00:58:26        all     51.50      0.00      3.00      0.00      0.00     45.50
00:58:27        all     23.50      0.00      3.50      0.00      0.50     72.50
00:58:28        all      0.00      0.00      0.50      0.00      0.00     99.50
00:58:29        all      0.00      0.00      0.00      0.00      0.00    100.00
00:58:30        all      0.50      0.00      0.00      0.00      0.00     99.50
00:58:31        all      0.00      0.00      0.00      0.00      0.00    100.00
00:58:32        all      0.50      0.00      0.00      0.00      0.00     99.50
00:58:33        all      0.00      0.00      0.00      0.00      0.00    100.00
00:58:34        all      0.50      0.00      0.50      0.00      0.00     99.00
00:58:35        all      0.00      0.00      0.00      0.00      0.00    100.00
00:58:36        all      0.00      0.00      0.00      0.00      0.00    100.00
00:58:37        all      1.00      0.00      0.00      0.00      0.00     99.00
00:58:38        all      0.00      0.00      0.50      0.00      0.00     99.50
00:58:39        all      0.00      0.00      0.00      0.00      0.00    100.00
00:58:40        all      0.00      0.00      0.00      0.00      0.00    100.00
00:58:41        all      0.00      0.00      0.00      0.00      0.00    100.00
00:58:42        all      1.00      0.00      0.00      0.00      0.00     99.00
00:58:43        all      0.00      0.00      0.00      0.00      0.00    100.00
00:58:44        all      0.00      0.00      0.00      0.00      0.00    100.00
00:58:45        all      2.00      0.00      1.00      0.00      0.00     97.00
00:58:46        all      6.60      0.00      0.51      0.00      0.00     92.89
00:58:47        all      2.01      0.00      1.51      0.00      0.00     96.48
00:58:48        all      1.52      0.00      0.51      0.00      0.00     97.97
00:58:49        all      1.52      0.00      1.01      0.00      0.00     97.47
00:58:50        all      2.02      0.00      0.51      0.00      0.00     97.47
00:58:51        all      1.51      0.00      1.51      0.00      0.00     96.98
00:58:52        all      1.52      0.00      0.51      0.00      0.00     97.98
00:58:53        all      2.01      0.00      1.01      0.00      0.00     96.98
00:58:54        all      1.52      0.00      0.00      0.00      0.00     98.48
00:58:55        all      2.01      0.00      1.51      0.00      0.00     96.48
00:58:56        all      1.02      0.00      0.51      0.00      0.00     98.48
00:58:57        all      2.53      0.00      0.51      0.00      0.00     96.97
00:58:58        all      1.52      0.00      0.51      0.00      0.00     97.98
00:58:59        all      2.01      0.00      1.01      0.00      0.00     96.98
00:59:00        all      1.02      0.00      0.51      0.00      0.00     98.48
00:59:01        all      1.99      0.00      1.49      0.00      0.50     96.02
00:59:02        all      1.51      0.00      1.01      0.00      0.00     97.49
00:59:03        all      1.52      0.00      1.01      0.00      0.00     97.47
00:59:04        all      2.02      0.00      0.51      0.00      0.51     96.97
00:59:05        all      2.01      0.00      0.50      0.00      0.00     97.49
00:59:06        all      2.51      0.00      0.50      0.00      0.00     96.98
00:59:07        all      1.50      0.00      1.50      0.00      0.00     97.00
00:59:08        all      1.52      0.00      1.01      0.00      0.00     97.47
00:59:09        all      1.52      0.00      1.01      0.00      0.00     97.47
00:59:10        all      1.52      0.00      1.01      0.00      0.00     97.47
00:59:11        all      2.01      0.00      1.01      0.00      0.00     96.98
00:59:12        all      2.01      0.00      0.50      0.00      0.00     97.49
00:59:13        all      1.50      0.00      1.50      0.00      0.00     97.00
00:59:14        all      1.53      0.00      0.51      0.00      0.00     97.96
00:59:15        all      2.01      0.00      0.50      0.00      0.00     97.49
00:59:16        all      1.52      0.00      1.01      0.00      0.00     97.47
00:59:17        all      2.03      0.00      1.02      0.51      0.00     96.45
00:59:18        all      2.02      0.00      0.51      0.00      0.00     97.47
00:59:19        all      1.52      0.00      0.51      0.00      0.00     97.98
00:59:20        all      1.52      0.00      0.51      0.00      0.00     97.97
00:59:21        all      2.00      0.00      1.00      0.00      0.00     97.00
00:59:22        all      1.50      0.00      2.00      0.00      0.00     96.50
00:59:23        all      2.02      0.00      1.01      0.00      0.00     96.97
00:59:24        all      1.52      0.00      0.00      0.00      0.00     98.48
00:59:25        all      1.02      0.00      1.02      0.00      0.00     97.97
00:59:26        all      2.02      0.00      0.51      0.00      0.00     97.47
00:59:27        all      1.52      0.00      0.51      0.00      0.00     97.98
00:59:28        all      2.01      0.00      1.51      0.00      0.00     96.48
00:59:29        all      1.50      0.00      1.50      0.00      0.00     97.00
00:59:30        all      2.03      0.00      0.00      0.00      0.00     97.97
00:59:31        all      1.50      0.00      1.50      0.00      0.50     96.50
00:59:32        all      2.01      0.00      0.50      0.00      0.00     97.49
00:59:33        all      1.52      0.00      0.51      0.00      0.00     97.97
00:59:34        all      2.01      0.00      1.01      0.00      0.00     96.98
00:59:35        all      2.01      0.00      1.01      0.00      0.00     96.98
00:59:36        all      2.01      0.00      0.50      0.00      0.00     97.49
00:59:37        all      1.52      0.00      1.01      0.00      0.00     97.47
00:59:38        all      1.52      0.00      1.01      0.00      0.00     97.47
00:59:39        all      1.52      0.00      0.00      0.00      0.00     98.48
00:59:40        all      0.50      0.00      0.00      0.00      0.00     99.50

Average:        all      5.98      0.00      0.94      0.01      0.02     93.04
