Linux 7.0.0-1008-aws (ip-172-31-20-134) 	08/07/26 	_x86_64_	(2 CPU)

10:58:23        CPU     %user     %nice   %system   %iowait    %steal     %idle
10:58:24        all      1.52      0.00      1.52      0.00      0.00     96.97
10:58:25        all      0.00      0.00      0.50      0.00      0.00     99.50
10:58:26        all      1.00      0.00      0.00      0.00      0.00     99.00
10:58:27        all      0.00      0.00      0.00      0.00      0.00    100.00
10:58:28        all      0.00      0.00      0.00      0.00      0.00    100.00
10:58:29        all      5.53      0.00      1.01      0.00      0.00     93.47
10:58:30        all      0.50      0.00      0.00      0.00      0.00     99.50
10:58:31        all      0.00      0.00      0.00      0.00      0.00    100.00
10:58:32        all      1.00      0.00      0.50      0.00      0.00     98.51
10:58:33        all      0.00      0.00      0.00      1.01      0.00     98.99
10:58:34        all      0.00      0.00      0.00      0.00      0.00    100.00
10:58:35        all      0.50      0.00      0.50      0.00      0.00     99.00
10:58:36        all      0.50      0.00      0.00      0.00      0.00     99.50
10:58:37        all      0.00      0.00      0.00      0.00      0.00    100.00
10:58:38        all      0.50      0.00      0.00      0.00      0.00     99.50
10:58:39        all      0.00      0.00      0.50      0.00      0.00     99.50
10:58:40        all      0.00      0.00      1.00      0.00      0.00     99.00
10:58:41        all      0.50      0.00      0.00      0.00      0.00     99.50
10:58:42        all      0.00      0.00      0.00      0.00      0.00    100.00
10:58:43        all      0.50      0.00      0.00      0.00      0.00     99.50
10:58:44        all      5.00      0.00      2.00      0.00      0.00     93.00
10:58:45        all      5.61      0.00      1.02      0.00      0.00     93.37
10:58:46        all     11.17      0.00      1.52      0.00      0.51     86.80
10:58:47        all     10.15      0.00      1.02      0.00      0.00     88.83
10:58:48        all      9.74      0.00      1.54      0.00      0.00     88.72
10:58:49        all     11.06      0.00      2.01      0.00      0.00     86.93
10:58:50        all     10.15      0.00      1.52      0.00      0.00     88.32
10:58:51        all     11.22      0.00      1.02      0.00      0.00     87.76
10:58:52        all     10.20      0.00      1.53      0.00      0.00     88.27
10:58:53        all     13.20      0.00      2.03      0.00      0.00     84.77
10:58:54        all     10.66      0.00      1.02      0.00      0.00     88.32
10:58:55        all     11.11      0.00      1.01      0.00      0.51     87.37
10:58:56        all      9.74      0.00      1.54      0.00      0.00     88.72
10:58:57        all     10.66      0.00      1.52      0.00      0.00     87.82
10:58:58        all      9.69      0.00      1.53      0.51      0.00     88.27
10:58:59        all     16.24      0.00      2.54      0.00      0.00     81.22
10:59:00        all     10.66      0.00      1.02      0.00      1.52     86.80
10:59:01        all     10.15      0.00      1.52      0.00      0.00     88.32
10:59:02        all      8.67      0.00      1.53      0.00      0.00     89.80
10:59:03        all     10.82      0.00      1.03      0.52      0.00     87.63
10:59:04        all     10.55      0.00      2.51      0.00      0.00     86.93
10:59:05        all     10.26      0.00      0.51      0.00      0.00     89.23
10:59:06        all     12.18      0.00      1.02      0.00      0.00     86.80
10:59:07        all     11.17      0.00      1.02      0.00      0.00     87.82
10:59:08        all     10.15      0.00      1.02      0.00      0.51     88.32
10:59:09        all      9.60      0.00      2.02      0.00      0.51     87.88
10:59:10        all     10.15      0.00      2.03      0.00      0.00     87.82
10:59:11        all     10.66      0.00      1.52      0.00      0.00     87.82
10:59:12        all     10.71      0.00      1.02      0.00      0.00     88.27
10:59:13        all     10.05      0.00      2.01      0.00      0.00     87.94
10:59:14        all     15.98      0.00      2.06      0.00      0.00     81.96
10:59:15        all     10.66      0.00      1.52      0.00      0.00     87.82
10:59:16        all     10.15      0.00      1.52      0.00      0.00     88.32
10:59:17        all      9.60      0.00      2.53      0.00      0.00     87.88
10:59:18        all     10.31      0.00      0.00      0.00      0.00     89.69
10:59:19        all     10.20      0.00      1.53      0.00      0.00     88.27
10:59:20        all     10.66      0.00      1.02      0.00      0.00     88.32
10:59:21        all     10.66      0.00      1.52      0.00      0.00     87.82
10:59:22        all     10.55      0.00      1.51      0.50      0.00     87.44
10:59:23        all     10.20      0.00      1.53      0.00      0.00     88.27
10:59:24        all     10.20      0.00      1.02      0.00      0.00     88.78
10:59:25        all      9.69      0.00      1.53      0.00      0.00     88.78
10:59:26        all      9.69      0.00      2.04      0.00      0.00     88.27
10:59:27        all     10.20      0.00      1.53      0.00      0.00     88.27
10:59:28        all     10.15      0.00      1.52      0.00      0.00     88.32
10:59:29        all     15.90      0.00      2.56      1.03      0.00     80.51
10:59:30        all     10.15      0.00      1.52      0.00      0.00     88.32
10:59:31        all     11.17      0.00      1.02      0.00      0.00     87.82
10:59:32        all     10.66      0.00      2.03      0.00      0.00     87.31
10:59:33        all     10.15      0.00      1.02      1.02      0.00     87.82
10:59:34        all     11.17      0.00      1.02      0.00      0.51     87.31
10:59:35        all     10.20      0.00      1.02      0.00      0.00     88.78
10:59:36        all     10.10      0.00      2.02      0.00      0.51     87.37
10:59:37        all     10.10      0.00      2.02      0.00      0.00     87.88
10:59:38        all      9.69      0.00      1.02      0.00      0.00     89.29
10:59:39        all     10.71      0.00      0.51      0.00      0.00     88.78
10:59:40        all      4.02      0.00      1.01      0.00      0.00     94.97
10:59:41        all      0.00      0.00      0.00      0.00      0.00    100.00
10:59:42        all      0.50      0.00      0.00      0.00      0.00     99.50

Average:        all      7.65      0.00      1.12      0.06      0.06     91.11
