Domain,Timestamp,Resolver,Status,Query Time
test.FALCON512-SYDNEY0608.test,2026-08-07 00:58:44 UTC,16.51.167.219@853,NOERROR,118.9
test0.FALCON512-SYDNEY0608.test,2026-08-07 00:58:44 UTC,16.51.167.219@853,NOERROR,48.7
test1.FALCON512-SYDNEY0608.test,2026-08-07 00:58:44 UTC,16.51.167.219@853,NOERROR,47.2
test2.FALCON512-SYDNEY0608.test,2026-08-07 00:58:44 UTC,16.51.167.219@853,NOERROR,47.2
test3.FALCON512-SYDNEY0608.test,2026-08-07 00:58:44 UTC,16.51.167.219@853,NOERROR,45.6
test4.FALCON512-SYDNEY0608.test,2026-08-07 00:58:44 UTC,16.51.167.219@853,NOERROR,46.1
test5.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,46.4
test6.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,45.7
test7.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,46.1
test8.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,46.3
test9.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,46.6
test10.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,43.5
test11.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,44.6
test12.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,43.8
test13.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,46.3
test14.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,43.5
test15.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,43.6
test16.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,43.1
test17.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,43.6
test18.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,45.8
test19.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,46.6
test20.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,43.6
test21.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,44.2
test22.FALCON512-SYDNEY0608.test,2026-08-07 00:58:45 UTC,16.51.167.219@853,NOERROR,47.2
test23.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,44.8
test24.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,43.9
test25.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,43.7
test26.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,44.2
test27.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,47.7
test28.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,46.9
test29.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,46.7
test30.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,43.8
test31.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,46.8
test32.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,49.9
test33.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,44.2
test34.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,45.1
test35.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,44.5
test36.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,46.6
test37.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,45
test38.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,43.5
test39.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,45.9
test40.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,47
test41.FALCON512-SYDNEY0608.test,2026-08-07 00:58:46 UTC,16.51.167.219@853,NOERROR,45.2
test42.FALCON512-SYDNEY0608.test,2026-08-07 00:58:47 UTC,16.51.167.219@853,NOERROR,46.8
test43.FALCON512-SYDNEY0608.test,2026-08-07 00:58:47 UTC,16.51.167.219@853,NOERROR,43.9
test44.FALCON512-SYDNEY0608.test,2026-08-07 00:58:47 UTC,16.51.167.219@853,NOERROR,43.5
test45.FALCON512-SYDNEY0608.test,2026-08-07 00:58:47 UTC,16.51.167.219@853,NOERROR,43.6
