"Domain","Timestamp","Resolver","Status","Query Time"
"test.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:24 UTC","16.51.167.219@53","NOERROR","99.5"
"test0.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:24 UTC","16.51.167.219@53","NOERROR","27.0"
"test1.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:24 UTC","16.51.167.219@53","NOERROR","28.2"
"test2.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:24 UTC","16.51.167.219@53","NOERROR","28.2"
"test3.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","29.3"
"test4.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","29.9"
"test5.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","27.0"
"test6.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","28.1"
"test7.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","28.0"
"test8.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","26.9"
"test9.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","27.4"
"test10.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","28.8"
"test11.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","27.4"
"test12.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","31.4"
"test13.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","28.0"
"test14.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","27.6"
"test15.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","26.9"
"test16.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","27.5"
"test17.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","27.7"
"test18.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","29.2"
"test19.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","27.5"
"test20.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","29.4"
"test21.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","28.1"
"test22.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","28.6"
"test23.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","28.4"
"test24.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","27.3"
"test25.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","28.2"
"test26.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","27.9"
"test27.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","30.2"
"test28.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:25 UTC","16.51.167.219@53","NOERROR","28.0"
"test29.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:26 UTC","16.51.167.219@53","NOERROR","26.5"
"test30.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:26 UTC","16.51.167.219@53","NOERROR","29.0"
"test31.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 07:46:26 UTC","16.51.167.219@53","NOERROR","27.9"
