"Domain","Timestamp","Resolver","Status","Query Time"
"test.FALCON512-SYDNEY0608.test","2026-08-07 07:36:25 UTC","16.51.167.219@53","NOERROR","97.2"
"test0.FALCON512-SYDNEY0608.test","2026-08-07 07:36:25 UTC","16.51.167.219@53","NOERROR","31.8"
"test1.FALCON512-SYDNEY0608.test","2026-08-07 07:36:25 UTC","16.51.167.219@53","NOERROR","31.9"
"test2.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","33.3"
"test3.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","30.9"
"test4.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","29.6"
"test5.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","29.4"
"test6.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","31.5"
"test7.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","31.6"
"test8.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","31.5"
"test9.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","30.6"
"test10.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","30.4"
"test11.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","31.7"
"test12.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","31.3"
"test13.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","31.3"
"test14.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","30.9"
"test15.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","28.9"
"test16.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","30.7"
"test17.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","30.9"
"test18.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","30.4"
"test19.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","29.5"
"test20.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","29.0"
"test21.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","30.9"
"test22.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","32.0"
"test23.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","30.9"
"test24.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","31.6"
"test25.FALCON512-SYDNEY0608.test","2026-08-07 07:36:26 UTC","16.51.167.219@53","NOERROR","29.8"
"test26.FALCON512-SYDNEY0608.test","2026-08-07 07:36:27 UTC","16.51.167.219@53","NOERROR","31.3"
"test27.FALCON512-SYDNEY0608.test","2026-08-07 07:36:27 UTC","16.51.167.219@53","NOERROR","30.3"
