"Domain","Timestamp","Resolver","Status","Query Time"
"test.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","102.8"
"test0.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","28.5"
"test1.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","27.4"
"test2.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","30.0"
"test3.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","28.5"
"test4.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","28.8"
"test5.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","27.4"
"test6.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","27.8"
"test7.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","27.3"
"test8.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","30.3"
"test9.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","31.5"
"test10.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","29.9"
"test11.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","28.1"
"test12.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","27.8"
"test13.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:26 UTC","16.51.167.219@53","NOERROR","29.3"
"test14.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.9"
"test15.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.4"
"test16.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","27.8"
"test17.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","29.6"
"test18.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","27.8"
"test19.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.6"
"test20.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","27.5"
"test21.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","29.2"
"test22.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.5"
"test23.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.4"
"test24.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.4"
"test25.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","29.2"
"test26.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.0"
"test27.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","29.0"
"test28.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.4"
"test29.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","27.9"
"test30.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","27.7"
"test31.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","30.0"
"test32.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","30.6"
"test33.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","31.1"
"test34.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.1"
"test35.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","29.2"
"test36.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.2"
"test37.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.2"
"test38.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.0"
"test39.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:27 UTC","16.51.167.219@53","NOERROR","28.4"
"test40.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","29.1"
"test41.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","29.7"
"test42.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","27.1"
"test43.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","27.1"
"test44.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","30.5"
"test45.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","28.3"
"test46.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","27.9"
"test47.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","28.5"
"test48.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","28.6"
"test49.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","28.5"
"test50.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","30.1"
"test51.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","28.5"
"test52.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","29.1"
"test53.MLDSA44-SYDNEY0608.test","2026-08-07 07:41:28 UTC","16.51.167.219@53","NOERROR","28.5"
