"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","101.1"
"test0.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","30.6"
"test1.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","30.3"
"test2.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","32.6"
"test3.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","31.5"
"test4.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","33.2"
"test5.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","32.6"
"test6.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","31.4"
"test7.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","32.2"
"test8.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","33.9"
"test9.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","32.6"
"test10.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","30.4"
"test11.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:58 UTC","16.51.167.219@53","NOERROR","31.3"
"test12.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:59 UTC","16.51.167.219@53","NOERROR","30.4"
"test13.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:59 UTC","16.51.167.219@53","NOERROR","30.8"
"test14.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:59 UTC","16.51.167.219@53","NOERROR","31.6"
"test15.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:59 UTC","16.51.167.219@53","NOERROR","31.4"
"test16.P256-FALCON512-SYDNEY0608.test","2026-08-07 07:37:59 UTC","16.51.167.219@53","NOERROR","30.3"
