"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","102.1"
"test0.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","30.9"
"test1.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","32.4"
"test2.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","32.8"
"test3.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","31.5"
"test4.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","31.3"
"test5.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","31.6"
"test6.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","30.1"
"test7.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","32.3"
"test8.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","33.3"
"test9.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","31.3"
"test10.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","31.9"
"test11.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","30.6"
"test12.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","30.2"
"test13.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","30.5"
"test14.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","29.9"
"test15.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:35 UTC","16.51.167.219@53","NOERROR","32.2"
"test16.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:36 UTC","16.51.167.219@53","NOERROR","30.5"
"test17.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:36 UTC","16.51.167.219@53","NOERROR","29.8"
"test18.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:36 UTC","16.51.167.219@53","NOERROR","32.3"
"test19.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:36 UTC","16.51.167.219@53","NOERROR","30.4"
"test20.P256-MLDSA44-SYDNEY0608.test","2026-08-07 07:39:36 UTC","16.51.167.219@53","NOERROR","32.3"
