"Domain","Timestamp","Resolver","Status","Query Time"
"test.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:30 UTC","16.51.167.219@53","NOERROR","108.8"
"test0.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:30 UTC","16.51.167.219@53","NOERROR","47.5"
"test1.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:30 UTC","16.51.167.219@53","NOERROR","47.3"
"test2.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","45.4"
"test3.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","46.2"
"test4.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","45.0"
"test5.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","45.1"
"test6.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","46.2"
"test7.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","45.1"
"test8.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","43.4"
"test9.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","46.9"
"test10.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","44.4"
"test11.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","44.2"
"test12.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","47.8"
"test13.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","45.1"
"test14.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","45.0"
"test15.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","45.9"
"test16.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","45.4"
"test17.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","46.2"
"test18.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","46.3"
"test19.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:31 UTC","16.51.167.219@53","NOERROR","44.7"
"test20.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","45.5"
"test21.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","43.4"
"test22.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","47.5"
"test23.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","46.9"
"test24.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","47.7"
"test25.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","44.5"
"test26.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","46.1"
"test27.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","52.7"
"test28.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","44.9"
"test29.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","43.9"
"test30.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","45.9"
"test31.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","43.8"
"test32.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","45.8"
"test33.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","42.8"
"test34.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","43.0"
"test35.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","44.6"
"test36.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","49.3"
"test37.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:32 UTC","16.51.167.219@53","NOERROR","44.0"
"test38.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","42.9"
"test39.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","43.3"
"test40.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","45.7"
"test41.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","43.2"
"test42.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","44.6"
"test43.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","42.2"
"test44.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","45.0"
"test45.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","46.8"
"test46.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","44.7"
"test47.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","45.0"
"test48.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","47.9"
"test49.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","44.9"
"test50.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","43.2"
"test51.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","42.7"
"test52.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","46.7"
"test53.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","43.9"
"test54.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","44.9"
"test55.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","44.3"
"test56.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:33 UTC","16.51.167.219@53","NOERROR","44.2"
"test57.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","49.7"
"test58.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","46.3"
"test59.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","46.2"
"test60.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","43.8"
"test61.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","44.4"
"test62.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","45.6"
"test63.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","45.8"
"test64.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","47.9"
"test65.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","45.2"
"test66.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","44.3"
"test67.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","45.8"
"test68.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","44.7"
"test69.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","44.1"
"test70.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","48.0"
"test71.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","48.7"
"test72.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","48.0"
"test73.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","45.4"
"test74.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:34 UTC","16.51.167.219@53","NOERROR","47.5"
"test75.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","48.1"
"test76.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","48.0"
"test77.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","47.8"
"test78.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","47.4"
"test79.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","43.0"
"test80.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","43.8"
"test81.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","47.0"
"test82.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","45.4"
"test83.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","45.4"
"test84.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","43.1"
"test85.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","45.0"
"test86.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","48.5"
"test87.P256-SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:44:35 UTC","16.51.167.219@53","NOERROR","43.2"
