"Domain","Timestamp","Resolver","Status","Query Time"
"test.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","101.9"
"test0.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","30.6"
"test1.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","28.9"
"test2.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","29.0"
"test3.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","29.2"
"test4.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","28.8"
"test5.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","28.8"
"test6.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","28.8"
"test7.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","29.0"
"test8.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","26.6"
"test9.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","28.9"
"test10.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","28.6"
"test11.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","28.7"
"test12.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","28.9"
"test13.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","27.3"
"test14.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","27.7"
"test15.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","29.2"
"test16.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","28.7"
"test17.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","32.0"
"test18.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","28.7"
"test19.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","27.4"
"test20.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","27.5"
"test21.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:36 UTC","16.51.167.219@53","NOERROR","27.8"
"test22.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.5"
"test23.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","26.9"
"test24.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.5"
"test25.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.8"
"test26.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","29.3"
"test27.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","26.8"
"test28.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","29.2"
"test29.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.3"
"test30.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","28.8"
"test31.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","28.5"
"test32.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.8"
"test33.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","29.3"
"test34.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.4"
"test35.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","28.4"
"test36.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.5"
"test37.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.5"
"test38.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.6"
"test39.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","29.9"
"test40.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.3"
"test41.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","29.0"
"test42.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","30.9"
"test43.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.6"
"test44.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","30.1"
"test45.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","28.4"
"test46.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.7"
"test47.RSASHA256-SYDNEY0608.test","2026-08-07 07:47:37 UTC","16.51.167.219@53","NOERROR","27.3"
